ファイル名: RSEL(MJ0392-4M)_page578

<overview>
このページは「パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はI/Oパラメーターの詳細な一覧で、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考が記載されています。テキスト部分は表の説明や注釈が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）
| No. | パラメーター名称 | 出荷時設定値 | 入力範囲 | 単位 | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 328 | 出力機能選択313（エリア2）割付ポートNo. | 0 | 0～6,999 |  | I/OパラメーターNo.344 “出力機能選択313（エリア2）”の機能割付ポートNo.を指定 ※0時、機能割付ポートなし |
| 329 | 出力機能選択314（エリア2）割付ポートNo. | 0 | 0～6,999 |  | I/OパラメーターNo.345 “出力機能選択314（エリア2）”の機能割付ポートNo.を指定 ※0時、機能割付ポートなし |
| 330 | 出力機能選択315（エリア2）割付ポートNo. | 0 | 0～6,999 |  | I/OパラメーターNo.346 “出力機能選択315（エリア2）”の機能割付ポートNo.を指定 ※0時、機能割付ポートなし |
| 331 | 出力機能選択300（エリア2） | 0 | 0～20 |  | 0：汎用出力 1：動作解除レベル以上のエラー出力（ON） 2：動作解除レベル以上のエラー出力（OFF） 3：動作解除レベル以上のエラー＋非常停止出力（ON） 4：動作解除レベル以上のエラー＋非常停止出力（OFF） 5：コールドスタートレベル以上のエラー出力（ON） 6：コールドスタートレベル以上のエラー出力（OFF） 7：メンテナンス情報アラート機能関連メッセージレベル（エラーNo.231～232）のエラー出力（ON） 8：メンテナンス情報アラート機能関連メッセージレベル（エラーNo.231～232）のエラー出力（OFF） |
| 332 | 出力機能選択301（エリア2） | 0 | 0～20 |  | 0：汎用出力 1：READY出力（PIOトリガープログラム運転可） 2：READY出力（PIOトリガープログラム運転可、かつ、動作解除レベル以上エラー非発生） 3：READY出力（PIOトリガープログラム運転可、かつ、コールドスタートレベル以上エラー非発生） |
| 333 | 出力機能選択302（エリア2） | 0 | 0～20 |  | 0：汎用出力 1：非常停止出力（ON） 2：非常停止出力（OFF） |
| 334 | 出力機能選択303（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：AUTOモード出力 2：自動運転中出力（その他パラメーターNo.12） |
| 335 | 出力機能選択304（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：全有効軸原点（=0）時出力 2：全有効軸原点復帰完了状態（座標確定）時出力 ※ABSエンコーダー軸を、座標0に移動させる場合は、HOME命令ではなく、MOVP命令を使用してください。 |
| 336 | 出力機能選択305（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：第1軸インポジション出力（押付空振り時OFF） 2：第1軸サーボON中出力（システム監視タスク出力） 3：システム予約 |
| 337 | 出力機能選択306（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：第2軸インポジション出力（押付空振り時OFF） 2：第2軸サーボON中出力（システム監視タスク出力） 3：システム予約 |
| 338 | 出力機能選択307（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：第3軸インポジション出力（押付空振り時OFF） 2：第3軸サーボON中出力（システム監視タスク出力） 3：システム予約 |
| 339 | 出力機能選択308（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：第4軸インポジション出力（押付空振り時OFF） 2：第4軸サーボON中出力（システム監視タスク出力） 3：システム予約 |
| 340 | 出力機能選択309（エリア2） | 0 | 0～5 |  | 0：汎用出力 1：第5軸インポジション出力（押付空振り時OFF） 2：第5軸サーボON中出力（システム監視タスク出力） 3：システム予約 |

</contents>
