ファイル名: RSEL(MJ0392-4M)_page581

<overview>
本ページは「10.2 パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はパラメーター番号、名称、出荷時設定値、入力範囲、単位、備考の項目からなるパラメーター一覧表です。テキスト部分は表のヘッダーや章タイトル、ページ番号などの補足情報に限定されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No.           | パラメーター名称 | 出荷時設定値 | 入力範囲               | 単位 | 備考 |
| :------------ | :--------------- | :----------- | :--------------------- | :--- | :--- |
| 396～399      | （拡張用）       | 0            |                        |      |      |
| 400           | システム予約     | 1            | 0～20                  |      |      |
| 401～404      | （拡張用）       | 0            |                        |      |      |
| 405～406      | システム予約     | 512          | 0～512                 |      |      |
| 407           | システム予約     | -1           | -1～3,999              |      |      |
| 408           | システム予約     | -1           | -1～6,999              |      |      |
| 409           | システム予約     | 1            | 0～5                   |      |      |
| 410           | （拡張用）       | 0            |                        |      |      |
| 411           | システム予約     | 1,256        | 1,000～3,999           |      |      |
| 412           | システム予約     | 4,256        | 4,000～6,999           |      |      |
| 413           | システム予約     | 0            | 0～512                 |      |      |
| 414           | システム予約     | 0            | 0～512                 |      |      |
| 415           | システム予約     | -1           | -1～299                |      |      |
| 416           | システム予約     | -1           | -1～599                |      |      |
| 417～419      | （拡張用）       | 0            |                        |      |      |
| 420           | システム予約     | 0H           | 0H～FFFFFFFFH          |      |      |
| 421           | システム予約     | 1003000H     | 0H～FFFFFFFFH          |      |      |
| 422           | システム予約     | FF007530H    | 0H～FFFFFFFFH          |      |      |
| 423           | システム予約     | 2H           | 0H～FFFFFFFFH          |      |      |
| 424～429      | システム予約     | 0H           | 0H～FFFFFFFFH          |      |      |
| 430           | システム予約     | 4,000        | 0～99,999              | ms   |      |
| 431～447      | システム予約     | 0H           | 0H～FFFFFFFFH          |      |      |
| 448           | システム予約     | 4BH          | 0H～FFFFFFFFH          |      |      |
| 449～459      | （拡張用）       | 0            |                        |      |      |
| 460           | システム予約     | 0            | 0H～FFFFFFFFH          |      |      |
| 461～463      | システム予約     | 0            | 0～65,535              |      |      |
| 464           | システム予約     | 0            | 0H～FFFFFFFFH          |      |      |
| 465～467      | システム予約     | 0            | 0～65,535              |      |      |
| 468           | システム予約     | 0            | 0H～FFFFFFFFH          |      |      |

</contents>
