ファイル名: RSEL(MJ0392-4M)_page592

<overview>
このページは「軸グループパラメーター」に関する内容で構成されています。主に表形式で、各パラメーターの名称、出荷時設定値、入力範囲、単位、備考が一覧で示されています。テキスト部分は表の説明やパラメーターの詳細な設定内容に関する記述です。図やグラフは含まれていません。
</overview>

<contents>
### テキスト・表
#### 10.2.3 軸グループパラメーター一覧

| No. | パラメーター名称               | 出荷時設定値       | 入力範囲                 | 単位 | 備考                                                                                              |
|-----|-------------------------------|--------------------|--------------------------|------|-------------------------------------------------------------------------------------------------|
| 1   | 第1軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第1軸の有効設定およびドライバー割付け設定<br>ビット0-3：軸有効設定（0：無効、1：有効（ドライバー接続軸）、2：有効（仮想ドライバー軸））<br>ビット4-7：システム予約<br>ビット8-15：ドライバーユニットNo（1～8）、仮想ドライバー軸は0設定可<br>ビット16-23：ドライバーユニット内軸番号（0～1）<br>ビット24-31：システム予約 |
| 2   | 第2軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第2軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 3   | 第3軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第3軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 4   | 第4軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第4軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 5   | 第5軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第5軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 6   | 第6軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第6軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 7   | 第7軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第7軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 8   | 第8軸使用設定                 | 0H                 | 参照のみ 0H～FFFFFFFFH   |      | 第8軸の有効設定およびドライバー割付け設定（パラメーター定義は第1軸と同様）                     |
| 9   | システム予約                 | 0                  | 参照のみ 0～8            |      |                                                                                                 |
| 10  | 直交座標変換設定             | アクチュエーター／ロボット依存 | 0～9                    |      | 0：直交座標なし<br>1：CRS-XB□□/XG□□<br>2：CRS-XZ□Y□<br>3：CRS-XZ□Z□<br>4：システム予約<br>※軸グループNo.1に限って有効。 |
| 11  | PC・TPポジションデータプロテクト設定1 | 0                  | 0H～FFFFFFFFH            |      | ビット0-3：プロテクト種別（0：リード可/ライト可、1：リード可/ライト不可、2：リード不可/ライト不可）<br>ビット4-7：プロテクト解除方法（0：特殊操作）<br>※PC・TPが参照 |

</contents>
