ファイル名: RSEL(MJ0392-4M)_page595

<overview>
本ページは「10.2 パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容は各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考・考察が記載されたパラメーター一覧表です。テキスト部分は表の説明や補足はなく、表が主体です。グラフや図、フローチャートは含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称                     | 出荷時設定値 | 入力範囲                     | 単位     | 備考・考察                                                                                              |
|-----|------------------------------------|--------------|------------------------------|----------|-------------------------------------------------------------------------------------------------------|
| 23  | ゾーン1 出力 No.                   | 0            | 0～6,999                     |          | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）                     |
| 24  | ゾーン2＋側                        | 0            | -99,999,999～99,999,999      | 0.001mm  | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要                                                    |
| 25  | ゾーン2－側                       | 0            | -99,999,999～99,999,999      | 0.001mm  | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要                                                    |
| 26  | ゾーン2 出力 No.                   | 0            | 0～6,999                     |          | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）                     |
| 27  | ゾーン3＋側                        | 0            | -99,999,999～99,999,999      | 0.001mm  | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要                                                    |
| 28  | ゾーン3－側                       | 0            | -99,999,999～99,999,999      | 0.001mm  | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要                                                    |
| 29  | ゾーン3 出力 No.                   | 0            | 0～6,999                     |          | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）                     |
| 30  | ゾーン4＋側                        | 0            | -99,999,999～99,999,999      | 0.001mm  | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要                                                    |
| 31  | ゾーン4－側                       | 0            | -99,999,999～99,999,999      | 0.001mm  | ＋側→一側時のみ有効。領域通過時間3ms以上確保必要                                                    |
| 32  | ゾーン4 出力 No.                   | 0            | 0～6,999                     |          | 物理的出力ポート or グローバルフラグ or 拡張出力ポート（0時出力無効、重複指定無効）                     |
| 33  | サーボON 中出力 No.                | 0            | 0～6,999                     |          | 物理的出力ポートまたは拡張出力ポート（0時出力無効、重複指定無効）                                   |
| 34  | インポジション出力 No.             | 0            | 0～6,999                     |          | 物理的出力ポートまたは拡張出力ポート（0時出力無効、重複指定無効）押付空振り時は出力OFF               |
| 35  | （拡張用）                        | 0            | ～                           |          |                                                                                                       |
| 36  | システム予約                       | 100          | 50～100                      | %        |                                                                                                       |
| 37  | OLWNO ドライバー過負荷警告出力 No. | 0            | 0～6,999                     |          | 物理的出力ポートまたは拡張出力ポート（0時出力無効、重複指定無効）B接点                             |
| 38～40 | （拡張用）                     | 0            | ～                           |          |                                                                                                       |
| 41  | マルチスライダー過接近検出対象軸指定 | 0H           | 0H～FFFFFFFFH                |          | ビット0-3：過接近検出対象相手軸No.（自軸座標プラス移動側）<br>ビット4-7：過接近検出対象相手軸No.（自軸座標マイナス移動側）<br>※相手軸と相互入力必要（ペア中、軸No.小さい方が便宜上のマルチスライダー主軸）<br>※分解能関連同一特性軸のみ指定可。<br>※シンクロ仕様時は必ずシンクロ主軸を指定（シンクロ従軸指定禁止）。<br>※自軸座標該当移動側に隣接スライダーなし時0設定。 |
| 42  | マルチスライダー過接近時緊急減速度マージン | 5            | 0～999                      | 0.01G    |                                                                                                       |
</contents>
