ファイル名: RSEL(MJ0392-4M)_page599

<overview>
このページは「10.2.7 その他パラメーター」に関する内容で、主に表形式でパラメーターの一覧が示されています。  
構成は以下の通りです。  
- テキスト部分：セクションタイトルと説明  
- 表部分：パラメーター番号、名称、出荷時設定値、入力範囲、単位、備考の6列からなる詳細なパラメーター一覧表  
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 10.2.7 その他パラメーター
SELユニットのその他パラメーターについての一覧表を示しています。

### 表
#### その他パラメーター一覧

| No. | パラメーター名称                                   | 出荷時設定値 | 入力範囲    | 単位 | 備考                                                                                                                                                                                                                              |
|-----|--------------------------------------------------|--------------|-------------|------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1   | オートスタートプログラム No.                      | 0            | 0～512      |      | (0時無効)                                                                                                                                                                                                                        |
| 2   | 動作・プログラム打切時 I/O処理プログラム No.       | 0            | 0～512      |      | 「動作・プログラム打切時 I/O処理プログラム起動種別」により起動トリガーが決定される。<br>（注意：他プログラムの打ち切り確認前に起動される）（0時無効）<br>※有効時使用可能ユーザープログラムタスク数が1減少する。                                         |
| 3   | 全動作一時停止時 I/O処理プログラム No.             | 0            | 0～512      |      | 全動作一時停止要因により、全動作一時停止指令時起動される。（プログラム実行中のみ）（0時無効）<br>※有効時使用可能ユーザープログラムタスク数が1減少する。                                                                                   |
| 4   | エラー時プログラム強制終了種別                      | 0            | 0～5        |      | 0：動作解除レベル以上のエラー時、発生元プログラムのみ解除（駆動源遮断必要エラー、サーボOFF要求エラー、全軸サーボOFF必要エラーなど、「動作・プログラム打切時 I/O処理プログラム」以外の全プログラム解除）<br>1：動作解除レベル以上のエラー時、「動作・プログラム打切時 I/O処理プログラム」以外の全プログラム解除。 |
| 5   | 動作・プログラム打切時 I/O処理プログラム起動種別   | 0            | 0～5        |      | 0：全動作解除要因発生時（プログラム実行中のみ）<br>1：全動作解除要因発生時（常時）<br>2：全動作解除要因＋動作解除レベル以上のエラー時（その他パラメーターNo.4=0考慮）（プログラム実行中のみ）<br>3：全動作解除要因＋動作解除レベル以上のエラー時（その他パラメーターNo.4=0考慮）（常時） |
| 6   | ソフトウェアリセット時、PC・TP再接続遅延時間       | 14,000       | 1～99,999   | ms   | ※コントローラー・PCソフト・TP再起動後より有効                                                                                                                                                                                |
| 7～8 | （拡張用）                                        | 0            |             |      |                                                                                                                                                                                                                                   |
| 9   | システム予約（変更禁止）                           | 0            | 0～9        |      | 0：動作・プログラム打切<br>1：要リセット復旧<br>2：動作継続復旧（自動運転中時のみ※1）<br>※1 ただし、PCソフト・TPからの動作指令はPCソフト・TP側から打ち切られる。                                                                                   |
| 10  | 非常停止復旧種別                                   | 0            | 0～4        |      | 0：動作・プログラム打切<br>1：要リセット復旧<br>2：動作継続復旧（自動運転中時のみ※1）<br>3：動作・プログラム打切（非常停止解除時ソフトウェアリセット。INCエンコーダー軸原点復帰完了状態解除（EG近似互換））<br>4：動作・プログラム打切（非常停止解除時、エラーリセット（動作解除レベルエラー以下のみ）、および、オートスタートプログラム起動（AUTOモード、かつ、I/OパラメーターNo.33=1、かつ、I/OパラメーターNo.44=1、かつ、全動作解除要因非発生中のみ）。非常停止→非常停止解除間は、1s以上インターバル必要。INCエンコーダー軸原点復帰完了状態保持。） |
| 11  | イネーブルSW（デッドマンスW・イネーブルSW）復旧種別 | 0            | 0～2        |      | 0：動作・プログラム打切<br>1：要リセット復旧<br>2：動作継続復旧（自動運転中時のみ※1）<br>※1 ただし、PCソフト・TPからの動作指令はPCソフト・TP側から打ち切られる。                                                                                   |
| 12  | 自動運転中認識種別                                 | 0            | 0～3        |      | 0：プログラム運転中かつ全動作解除要因非発生中<br>1：[プログラム運転中またはAUTOモード中]かつ全動作解除要因非発生中                                                                                                         |
</contents>
