ファイル名: RSEL(MJ0392-4M)_page601

<overview>
このページは「パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はパラメーター番号、名称、出荷時設定値、入力範囲、単位、備考の6つのカラムからなる詳細なパラメーター設定情報の一覧です。テキストは表の備考欄に多く含まれ、ビットごとの意味や設定内容の説明が記載されています。図やグラフは含まれていません。
</overview>

<contents>
### 表部分
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称           | 出荷時設定値 | 入力範囲              | 単位 | 備考                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|-----|----------------------------|--------------|-----------------------|------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 45  | 起動特殊条件設定           | 0            | 0H～FFFFFFFFH         |      | ビット0-3：AUTOモード時、PC・TP起動許可＝メーカー専用（0：許可しない、1：許可する）<br>ビット4-7：PIOプログラムスタート（入力ポート000）シングル起動選択（0：通常、1：シングル起動）<br>※シングル起動時は、前回PIOプログラムスタート（入力ポート000）したプログラムと同一No.のプログラム実行中、次回PIOプログラムスタート（入力ポート000）を受け付けない。<br>ビット8-11：全動作解除要因発生中、オートスタートプログラム起動許可（0：許可しない、1：許可する）<br>ビット12-15：全動作解除要因発生中、PIOプログラムスタート（入力ポート000）ONエッジ受付許可（0：許可しない、1：許可する）<br>※ONエッジ受付条件指定であり、起動条件を満たさなければ、「エラーNo.A1E起動条件不成立エラー」となります。 |
| 46  | その他設定ビットパターン1 | 2001H        | 0H～FFFFFFFFH         |      | ビット0-3：システム予約<br>ビット4-7：LET・TRAN命令実数→整数変数代入時、小数点以下四捨五入選択（0：四捨五入しない、1：四捨五入する）<br>ビット8-11：システム予約<br>ビット12-15：TPCD命令＝1指定時、サブルーチン第1ステップ入力条件未指定命令処理選択（0：非実行、1：実行、2：エラー）<br>ビット16-19：システム予約<br>ビット20-23：継続復旧移動・再開動作タイミング種別（0：同一タスク使用軸群の継続復旧移動完了後、再開動作（従来通り）、1：いずれかの軸が、継続復旧動作中は、再開動作保留（継続復旧移動完了を待つ意ではありません。））<br>ビット24-27：システム予約<br>ビット28-31：システム予約                                                                                                                                                                                                                   |
| 47  | その他設定ビットパターン2 | 1H           | 0H～FFFFFFFFH         |      | ビット0-3：カレンダー機能使用選択（0：非使用、1：使用、2：非使用（リセット後経過時間使用）、3：システム予約）<br>※変更時はエラーリストをオールクリアーしてください。<br>ビット4-7：システム予約<br>ビット8-11：システム予約<br>ビット12-31：将来拡張用                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 48  | （拡張用）                 | 0            |                       |      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 49  | システム予約               | 0            | 0～9                  |      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 50  | システム予約               | 0            | -99,999,999～99,999,999 |      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 51  | （拡張用）                 | 0            |                       |      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 52  | システム予約               | 0            |                       |      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
</contents>
