ファイル名: RSEL(MJ0392-4M)_page643

<overview>
このページは「10.5 パラメーター一覧（エレシリンダー）」のセクションで構成されています。主にテキストと表で構成されており、エレシリンダーの各パラメーターの名称、単位、入力範囲、工場出荷時の初期値、参照ページが一覧表形式で示されています。ページ下部には注意事項のテキストが記載されています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 10.5.1 エレシリンダーのパラメーター一覧
エレシリンダーのパラメーター一覧を示しています。

#### 注意事項
- No.1・3・4の工場出荷時の初期値は、エレシリンダーの仕様により異なります。
- No.7 無線機能設定パラメーターは、無線基板が搭載されていないエレシリンダー（オプションの型式にWL、WL2が指定されていないもの）では表示されません。
- No.9 電磁弁方式（動作方式）選択パラメーターは、ダブルから変更しないでください。シングルでは上位からの指令通りに動作しない場合があります。
- No.10 LED点灯方式 オートSW設定は、超小型エレシリンダー（タイプ：SL3□/GDS3L/GDB3□/T3□）のみ使用可能で、その他のエレシリンダーでは使用できません。

3ポジション切替仕様（MF）の場合は、「3ポジション切替仕様 取扱説明書（MJ3837）3.1 パラメーター」を参照してください。

### 表
#### エレシリンダーのパラメーター一覧

| No. | 名称                             | 単位 | 入力範囲                         | 工場出荷時の初期値           | 参照ページ |
| :-- | :------------------------------- | :--- | :------------------------------- | :--------------------------- | :--------- |
| 1   | 動作範囲調整                     | mm   | 0～9,999.69                      | 最大ストローク               | 10-85      |
| 2   | オートスイッチ「LS」信号検出範囲調整 | mm   | アクチュエーター依存～9,999.99  | 0.10                        | 10-86      |
| 3   | 原点復帰方向変更                 | -    | 逆、正                          | エレシリンダー仕様による     | 10-87      |
| 4   | 原点位置調整                     | mm   | 0～9,999.99                     | エレシリンダー仕様による     | 10-88      |
| 5   | スムーズ加減速設定               | -    | 無効、有効                      | 無効                        | 10-89      |
| 6   | 停止電流抑制設定                 | -    | 無効：パワフル停止<br>有効：省エネ停止 | 無効                        | 10-90      |
| 7   | 無線機能設定                     | -    | 無効、有効                      | 有効                        | 10-91      |
| 8   | 省電力設定                      | -    | 無効、有効                      | 無効                        | 10-91      |
| 9   | 電磁弁方式（動作方式）選択       | -    | ダブル、シングル                | ダブル（変更不可）           | ----       |
| 10  | LED点灯方式 オートSW設定         | -    | 無効、有効                      | 無効                        | 10-92      |
</contents>
