ファイル名: RSEL(MJ0392-4M)_page658

<overview>
このページは「パラメーター設定（応用編）」の一部であり、主にテキストと表で構成されています。テキスト部分では、非常停止解除後の復旧方法や外部からのコントローラー再起動、サーボON/OFF、単軸アクチュエーターの原点復帰に関する操作手順や条件が説明されています。各操作に対応するパラメーター番号、設定値、内容を示した表が複数掲載されています。グラフや図、フローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### 10.7.7 非常停止の直前の状態から復旧したい
自動運転中に非常停止解除で非常停止直前の状態から動作を継続可能。  
非常停止解除後、入力ポート005にONエッジ（OFF→ON）を入力する必要がある。

#### 10.7.8 外部からRSELコントローラーを再起動したい
入力ポート001にON信号を1秒以上入力すると、再起動（ソフトウェアリセット）が可能。

#### 10.7.9 外部からサーボONしたい
入力ポート002にONエッジ（OFF→ON）を入力するとサーボON、OFFエッジ（ON→OFF）を入力するとサーボOFFになる。

#### 10.7.10 外部から全単軸アクチュエーターを原点復帰したい
入力ポート015にONエッジ（OFF→ON）を入力すると単軸アクチュエーターが原点復帰する。  
（直交型6軸ロボットの原点復帰は行わない）

### 表
#### 10.7.7 非常停止の直前の状態から復旧したい
| パラメーターNo.           | 設定値 | 内容                                             |
| :------------------------ | :----- | :----------------------------------------------- |
| その他パラメーター No.10  | 2      | 非常停止解除で動作継続                           |
| I/Oパラメーター No.31     | 1      | 入力ポート001をソフトウェアリセット信号入力ポートに設定 |
| I/Oパラメーター No.35     | 1      | 入力ポート005を動作一時停止解除信号入力ポートに設定 |

#### 10.7.8 外部からRSELコントローラーを再起動したい
| パラメーターNo.       | 設定値 | 内容                                             |
| :-------------------- | :----- | :----------------------------------------------- |
| I/Oパラメーター No.31 | 1      | 入力ポート001をソフトウェアリセット信号入力ポートに設定 |

#### 10.7.9 外部からサーボONしたい
| パラメーターNo.       | 設定値 | 内容                                         |
| :-------------------- | :----- | :------------------------------------------- |
| I/Oパラメーター No.32 | 1      | 入力ポート002をサーボON信号入力ポートに設定 |

#### 10.7.10 外部から全単軸アクチュエーターを原点復帰したい
| パラメーターNo.       | 設定値 | 内容                                                         |
| :-------------------- | :----- | :----------------------------------------------------------- |
| I/Oパラメーター No.45 | 1      | 入力ポート015を原点復帰信号入力ポートに設定、全軸が原点復帰 |
| I/Oパラメーター No.45 | 2      | 入力ポート015を原点復帰信号入力ポートに設定、全インクリメント軸が原点復帰 |
</contents>
