ファイル名: RSEL(MJ0392-4M)_page679

<overview>
このページは「エラー表」に関する内容で構成されています。主に表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラーの説明と対処方法の詳細で占められており、表形式で整理されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラーNo.212～21A）
| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                             |
| :------- | :---------------------------- | :-------------------------------------------------------------------------------------------------------------- |
| 212      | ECMD 300 命令エラー           | 【内容・原因】<br>①ユーザーシステムエラー出力命令（ECMD300）が実行された<br>【対処方法】<br>①ユーザーシステムエラー出力命令を使用しているプログラムを確認する |
| 213      | ステップ数指定エラー           | 【内容・原因】<br>①SELプログラムのステップ（プログラム1行）を編集・照会時に存在しないステップに対して編集や照会を行った<br>【対処方法】<br>①開始ステップNo.＋ステップ数が存在するステップNo.とする |
| 214      | プログラム数指定エラー         | 【内容・原因】<br>①複数SELプログラムに対してプログラムクリアーやステップ（プログラム1行）数照会時に、有効プログラムNo.より大きくなるようなプログラム番号を指定した<br>【対処方法】<br>①開始プログラムNo.＋プログラム数が最大プログラムNo.以下とする |
| 215      | 内部処理エラー                 | 【内容・原因】<br>①SELユニット故障<br>②ノイズ<br>【対処方法】<br>①電源再投入しても発生する場合、SELユニット交換<br>②ノイズ対策を行う |
| 216      | プログラム非実行中エラー       | 【内容・原因】<br>①非実行中のプログラムを指定した<br>【対処方法】<br>①指定したいプログラムを実行してから指定する |
| 217      | プログラム再開時非実行中エラー | 【内容・原因】<br>①非実行中のプログラムに対して、実行再開の要求をした<br>【対処方法】<br>①エラーの発生したプログラムステップで指定したプログラムNo.を確認し、実行中のプログラムNo.にプログラム再開を実行するようにする |
| 218      | プログラム一時停止時非実行中エラー | 【内容・原因】<br>①非実行中のプログラムに対して、一時停止の要求をした<br>【対処方法】<br>①エラーの発生したプログラムステップで指定したプログラムNo.を確認し、実行中のプログラムNo.に一時停止の要求を実行するようにする |
| 219      | プログラム多重起動エラー       | 【内容・原因】<br>①既に実行中のプログラムを再度起動しようとした<br>【対処方法】<br>①エラーの発生したプログラムステップで指定したプログラムNo.を確認し、実行中のプログラムNo.にプログラム起動の要求を実行しないようにする |
| 21A      | SCPY命令コピー文字数異常警告  | 【内容・原因】<br>①SCPY命令実行時にSLEN命令で文字数を指定していない（コピー文字数が0であった）<br>【対処方法】<br>①SCPY命令実行時にSLEN命令で文字数を指定する（0以外にする） |

</contents>
