ファイル名: RSEL(MJ0392-4M)_page680

<overview>
このページは「第11章 トラブルシューティング」の一部で、主にエラーに関する情報をまとめた「エラー表」から構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキスト主体で、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### 11.3 エラー表

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                   |
| :------- | :----------------------------- | :--------------------------------------------------------------------------------------------------------------------- |
| 21B      | IN/OUT命令ポートフラグ異常警告 | 【内容・原因】<br>①入出力を行うポート（フラグ）数が32を超えている<br>【対処方法】<br>①プログラムを確認し、入出力を行うポート（フラグ）数が32を超えないようにする |
| 21C      | プログラムNo.エラー             | 【内容・原因】<br>①IAIプロトコルでプログラム編集・照会・実行時にプログラムが存在しない<br>②プログラムNo.として、1未満の番号を指定した<br>③サポートプログラム数の最大を超える番号を指定した<br>【対処方法】<br>①登録されたプログラムを指定して、プログラム編集・照会・実行の操作を行う<br>②プログラムNo.として、1未満の番号を指定しない<br>③最大プログラム数（512）以上を指定しない |
| 21D      | 複数プログラム同時起動禁止エラー | 【内容・原因】<br>①マニュアルモード時に複数プログラム起動禁止状態で、複数のプログラムを起動しようとした<br>【対処方法】<br>①PCソフト・TPの「複数プログラム同時起動設定」で同時起動許可を選択して複数プログラムを起動する |
| 21E      | 入出力ポート・フラグNo.エラー   | 【内容・原因】<br>①IAIプロトコルで設定範囲外の入出力ポート・フラグNo.を指定した<br>【対処方法】<br>①送信伝文を確認し、入出力ポート・フラグNo.を範囲内で設定する |
| 21F      | 入出力ポート・フラグ数指定エラー | 【内容・原因】<br>①ユーザーがプロトコルBを使用して、入出力ポート・フラグの変更・照会を行った際に範囲外の入出力ポート・フラグ数を指定した<br>【対処方法】<br>①送信伝文を確認し、入出力ポートフラグ数を範囲内で指定する |
| 220      | フラグNo.エラー                 | 【内容・原因】<br>①ユーザーがプロトコルBを使用して、フラグの変更・照会を行った際に範囲外のフラグNo.を指定した<br>【対処方法】<br>①送信伝文を確認し、フラグNo.を範囲内で指定する |
| 221      | シンボル定義テーブルNo.エラー   | 【内容・原因】<br>①シンボル定義テーブルの変更・照会時に範囲外のシンボル定義テーブルNo.を指定した<br>【対処方法】<br>①IAIプロトコルB通信で、テーブルNo.指定を見直す |
| 222      | 軸多重使用エラー（SIO・PIO）     | 【内容・原因】<br>①使用中の軸の使用を試みた<br>【対処方法】<br>①使用中の軸は使用しない |
| 223      | 変数No.エラー                   | 【内容・原因】<br>①IAIプロトコルB通信で範囲外の変数No.を指定した<br>【対処方法】<br>①範囲内の変数No.を指定する |

</contents>
