ファイル名: RSEL(MJ0392-4M)_page683

<overview>
本ページは「11.3 エラー表」の一部であり、エラー番号、エラー名称、内容・原因および対処方法をまとめた表形式の構成となっています。テキストは主に表の中に記載されており、各エラーの詳細説明が段落形式で記載されています。図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラーNo.230～237）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                   |
| --------- | -------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 230       | 簡易干渉チェックゾーンエラー       | 【内容・原因】<br>①IAIプロトコルで範囲外（1～10以外）の簡易干渉チェックゾーンNo.を指定した<br>【対処方法】<br>①送信文を確認し、簡易干渉チェックゾーンNo.を範囲内で設定する                                                                 |
| 231       | 簡易干渉チェックゾーン侵入検出     | 【内容・原因】<br>①簡易干渉チェックゾーンへの侵入を検出した<br>【対処方法】<br>①簡易干渉チェックゾーンに侵入しないよう動作条件や動作パターンを変更する                                                                                   |
| 232       | モニター・ライト禁止アドレス領域不正アクセスエラー | 【内容・原因】<br>①モニター・ライト禁止アドレス領域へのダイレクトライトを実行した<br>②モニター・ライト禁止アドレス領域へのダイレクトモニターを実行した<br>【対処方法】<br>①モニター・ライト禁止アドレス領域へダイレクトライトを実行しない<br>②モニター・ライト禁止アドレス領域へダイレクトモニターを実行しない |
| 233       | 動作中ソフトウェアリセット拒絶エラー | 【内容・原因】<br>①動作中（プログラム実行中やサーボ使用中）にソフトウェアリセットを実行しようとした<br>【対処方法】<br>①プログラム停止かつサーボOFF状態でソフトウェアリセットを実行する                                                                                   |
| 234       | AUTOモード時、PC・TP起動指令拒絶エラー | 【内容・原因】<br>①AUTOモード状態でパソコンソフトやティーチングボックスから起動を試みた<br>【対処方法】<br>①パソコンソフトやティーチングボックスから起動したいときは、MANUモードに設定する                                                                                   |
| 235       | 起動モードエラー                   | 【内容・原因】<br>①MANUモード時に、その他パラメーターNo.21「マニュアル動作種別」でプログラム起動不可状態に設定した<br>②AUTOモード時に、その他パラメーターNo.45ビット0-3 “AUTOモード時PC・TP起動許可”で、“許可しない”（標準設定）になっている<br>【対処方法】<br>①MANUモード時に、その他パラメーターNo.21「マニュアル動作種別」でプログラム起動不可状態に設定しない<br>②AUTOモード時に、その他パラメーターNo.45ビット0-3 “AUTOモード時PC・TP起動許可”で、“許可する”に設定する |
| 236       | PC・TPサーボ移動コマンド受付許可入力OFFエラー | 【内容・原因】<br>①PC・TPで対象軸移動コマンドを発行時、I/OパラメーターNo.77 “PC・TPサーボ移動コマンド受付許可入力ポートNo.”で指定された入力ポートがOFFになっている<br>【対処方法】<br>①I/OパラメーターNo.77 “PC・TPサーボ移動コマンド受付許可入力ポートNo.”で指定された入力ポートがONにして、PC・TPで対象軸移動コマンドを発行する |
| 237       | サーボ使用権エラー                 | 【内容・原因】<br>①SELユニット故障<br>②ノイズ<br>【対処方法】<br>①SELユニット交換<br>②電源再投入しても発生する場合は、ノイズ対策を実施する                                                                                           |

</contents>
