ファイル名: RSEL(MJ0392-4M)_page698

<overview>
本ページは「11.3 エラー表」と題されたセクションで構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキストは主にエラーの説明と対処方法の詳細で構成されており、表以外の図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表（11.3）

| エラーNo. | エラー名称                  | 内容・原因 / 対処方法                                                                                          |
| -------- | ------------------------- | ------------------------------------------------------------------------------------------------------------ |
| 416      | SIO 通信モードエラー       | 【内容・原因】<br>① OPEN、CLOS、READ、WRIT命令などで通信使用中のチャンネルに対して、ビジョンシステム命令（SLVS）を実行した<br>② ビジョンシステムI/F機能使用中のチャンネルに対して、通信命令（OPEN、CLOS、READ、WRIT命令など）を実行した<br>【対処方法】<br>① 2つのチャンネルに対して通信命令（OPEN、CLOS、READ、WRIT命令など）とビジョンシステム命令（SLVSなど）を同時に実行しないようにする |
| 417      | SIO 多重 WRIT 実行エラー   | 【内容・原因】<br>① 複数のタスクで同時に同一チャンネルに対し、WRIT命令が実行された<br>【対処方法】<br>① 同一タイミングで同一チャンネルに送信していないか確認 |
| 418      | SIO 不使用チャンネル選択エラー | 【内容・原因】<br>① パラメーターで不使用選択されているチャンネルに対して、使用を試みた<br>【対処方法】<br>① I/OパラメーターNo.201 ビット0-3の値確認し、“0”である場合は、“1”に変更してください。 |
| 419      | SIO 使用方法不正 OPEN エラー | 【内容・原因】<br>① パラメーター設定ミス<br>・I/OパラメーターNo.90 “ユーザー開放 SIO チャンネル使用方法”の設定と実際の使用方法が不一致<br>【対処方法】<br>① I/OパラメーターNo.90 “ユーザー開放 SIO チャンネル使用方法”の設定を確認する<br>0:SELプログラム開放<br>1:SELプログラム開放（デバイス共通 CLOSE 時 PC・TP 接続）<br>2:IAI プロトコル B（スレーブ） |
| 41A      | ユーザー開放通信チャンネル No.エラー | 【内容・原因】<br>① OPEN命令で未サポートのチャンネルNoを指定した<br>【対処方法】<br>① OPEN命令でサポートされているチャンネルNoを指定する<br>SIO接続コネクター：チャンネルNo.0 or 1<br>イーサネットコネクター：チャンネルNo.31～34 |
| 41B      | SCHA 命令設定エラー        | 【内容・原因】<br>① SCHA命令の設定値異常<br>【対処方法】<br>① SCHA命令の設定値確認 |
| 41C      | TPCD 命令設定エラー        | 【内容・原因】<br>② TPCD命令の設定値が異常<br>【対処方法】<br>① TPCD命令の設定値確認 |
| 41D      | SLEN 命令設定エラー        | 【内容・原因】<br>① SLEN命令の設定値が異常<br>【対処方法】<br>① SLEN命令の設定値確認 |
| 41E      | ECMD 300 命令エラー        | 【内容・原因】<br>① ユーザーシステムエラー出力命令（ECMD300）が実行された<br>【対処方法】<br>① ユーザーシステムエラー出力命令を使用しているプログラムを確認する |

</contents>
