ファイル名: RSEL(MJ0392-4M)_page699

<overview>
このページは「エラー表」に関する内容で構成されています。主に表形式で、エラー番号、エラー名称、内容・原因および対処方法が一覧で示されています。テキスト部分はエラーの詳細説明と対処方法の記述で占められており、表部分はエラー情報の体系的な整理に使われています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラーNo.、エラー名称、内容・原因／対処方法）

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                   |
| -------- | ----------------------------- | ----------------------------------------------------------------------------------------------------------------------- |
| 41F      | エラー詳細照会種別エラー       | 【内容・原因】<br>①タッチパネルなどのホストプログラムからのコマンド作成ミス<br>【対処方法】<br>①ホストプログラムを確認し、正常なコマンドを送信する |
| 420      | オペランドエラー               | 【内容・原因】<br>①オペランド指定異常<br>②オペランドデータが無効<br>③オペランドのデータ型が異常<br>【対処方法】<br>①エラーが発生したプログラムステップのオペランド指定を確認する<br>②エラーが発生したプログラムステップのオペランドデータを確認する<br>③エラーが発生したプログラムステップのオペランドのデータ型を確認する |
| 421      | 実行プログラム数オーバーエラー | 【内容・原因】<br>①同時に実行可能なプログラム数を超えるプログラムを実行しようとした<br>【対処方法】<br>①プログラムを確認し、同時に実行可能なプログラム数を超えないようにする |
| 422      | プログラムファーストステップ BGSR エラー | 【内容・原因】<br>①実行しようとしたプログラムがBGSRで開始された<br>【対処方法】<br>①プログラムを確認し、プログラムがBGSRで開始されないようにする |
| 423      | 実行可能ステップ未検出エラー   | 【内容・原因】<br>①実行しようとしたプログラムに実行可能なプログラムステップがなかった<br>【対処方法】<br>①実行可能なプログラムステップのあるプログラムを実行するか実行しようとしたプログラムNo.に実行可能なプログラムステップを登録する |
| 424      | DW、IF、IS、SLペアエンドエラー | 【内容・原因】<br>①前回出現した分岐命令との対応が異常だった<br>②EDIF、EDDO、EDSLが見つからなかった<br>【対処方法】<br>①、②IF・IS命令とEDIFの対応を確認する<br>DO命令とEDDOの対応を確認する<br>SLCT命令とEDSLの対応を確認する |
| 425      | BGSRペアエンド不足エラー       | 【内容・原因】<br>①BGSRに対応するEDSRが不足があった<br>②EDSRに対応するBGSRが不足があった<br>【対処方法】<br>①、②BGSRとEDSRの対応を確認する |
| 426      | DO、IF、ISネスト段数オーバーエラー | 【内容・原因】<br>①DO命令、IF・IS命令のネスト回数が限界値を超えた<br>【対処方法】<br>①プログラムを確認し、ネスト（入れ子）回数オーバー、およびGOTO命令での構文外、構文内への分岐がないかを確認する |
| 427      | SLCTネスト段数オーバーエラー   | 【内容・原因】<br>①SLCT命令のネスト回数が限界値を超えた<br>【対処方法】<br>①プログラムを確認し、ネスト（入れ子）回数オーバー、およびGOTO命令での構文外、構文内への分岐がないかを確認する |

</contents>
