ファイル名: RSEL(MJ0392-4M)_page700

<overview>
このページは「11.3 エラー表」という章の一部であり、主に表形式で構成されています。内容はエラー番号、エラー名称、そしてそれぞれのエラーの内容・原因および対処方法が記載された一覧表です。テキスト部分は表内の説明文として存在し、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラー番号、名称、内容・原因、対処方法）

| エラーNo. | エラー名称                         | 内容・原因                                                                                         | 対処方法                                                                                         |
| -------- | -------------------------------- | ------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------ |
| 428      | サブルーチンネスト回数オーバーエラー | 【内容・原因】<br>①サブルーチンコールのネスト回数が限界値を超えた                             | 【対処方法】<br>①プログラムを確認し、ネスト（入れ子）回数オーバー、およびGOTO命令での構文外、構文内への分岐がないかを確認する |
| 429      | SLCTの次ステップ命令コードエラー   | 【内容・原因】<br>①SLCTの次のプログラムステップがWHEQ、WHNE、WHGT、WHGE、WHLT、WHLE、WSEQ、WSNE、OTHE、EDSLのいずれかでなかった | 【対処方法】<br>①SLCTの次のプログラムステップがWHEQ、WHNE、WHGT、WHGE、WHLT、WHLE、WSEQ、WSNE、OTHE、EDSLのいずれかになるようにする |
| 42A      | BGPA、EDPAペアエンドミスマッチエラー | 【内容・原因】<br>①BGPA未宣言時にEDPAを宣言した<br>②BGPA宣言後、EDPAを宣言せずにBGPAを宣言した | 【対処方法】<br>①、②プログラムを確認し、BGPAとEDPAの対応を確認する                             |
| 42B      | クリエイトスタック失敗             | 【内容・原因】<br>①コントローラー故障                                                               | 【対処方法】<br>①SELユニット交換                                                                 |
| 42C      | 拡張条件コードエラー               | 【内容・原因】<br>①拡張条件のコードが異常                                                           | 【対処方法】<br>①エラーが発生したプログラムステップの拡張条件を確認する                           |
| 42D      | 入力条件CND不足検出エラー          | 【内容・原因】<br>①拡張条件を使用しているのに、必要な入力条件がなかった                             | 【対処方法】<br>①エラーが発生したプログラムステップの入力条件を確認する                         |
| 42E      | アクチュエーター制御宣言エラー      | 【内容・原因】<br>①アクチュエーター制御宣言命令の設定値が異常                                     | 【対処方法】<br>①エラーが発生したプログラムステップのアクチュエーター制御宣言命令の設定値を確認する |
| 42F      | タイマー時間設定範囲オーバーエラー  | 【内容・原因】<br>①TIMW命令の時間が設定範囲外                                                     | 【対処方法】<br>①エラーが発生したプログラムステップのタイマー時間の設定値を確認する<br>設定範囲：0.01～99秒 |
| 430      | ウェイト時タイムアウト時間設定範囲オーバーエラー | 【内容・原因】<br>①WT□□命令のタイムアウト時間が設定範囲外                                         | 【対処方法】<br>①エラーが発生したプログラムステップのWT□□命令のタイムアウト時間の設定値を確認する<br>設定範囲：0.01～99秒 |
| 431      | TSLP命令設定範囲エラー             | 【内容・原因】<br>①TSLP命令の時間指定にマイナスの値が設定された                                   | 【対処方法】<br>①TSLP命令の時間指定にプラスの値を設定する                                     |
</contents>
