ファイル名: RSEL(MJ0392-4M)_page701

<overview>
本ページは「エラー表」に関する内容で構成されています。  
主に表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。  
テキストはエラーの詳細説明と対処方法の手順が中心で、図やグラフは含まれていません。  
</overview>

<contents>
### 表
#### エラー表（エラーNo.432～439）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                   |
| --------- | -------------------------------- | ----------------------------------------------------------------------------------------------------------------------- |
| 432       | DIV命令時除数0エラー              | 【内容・原因】<br>①DIV命令時、除数（オペランド2）に0が指定された<br>【対処方法】<br>①エラー発生プログラムステップのDIV命令の除数（オペランド2）値を確認し、0以外を設定する |
| 433       | SQR命令時範囲エラー               | 【内容・原因】<br>①SQR命令のデータ（オペランド2）の値が異常<br>【対処方法】<br>①エラー発生プログラムステップのSQR命令のデータ（オペランド2）値を確認し、0以上を設定する |
| 434       | BCD表記桁数範囲エラー             | 【内容・原因】<br>①BCD表記桁数が異常<br>【対処方法】<br>①エラー発生プログラムステップのBCD表記桁数は1以上8以下を指定する                             |
| 435       | 1ショットパルス出力同時使用数過大エラー | 【内容・原因】<br>①1プログラム内のBTPN、BTPFタイマー同時動作数が上限（16）を超えた<br>②ポジション出力操作機能の同時出力数（ディレイ中・パルス出力中含む）が上限（16）を超えた<br>【対処方法】<br>①エラー発生プログラムステップのBTPN、BTPFタイマー同時動作数が上限（16）を超えないようにする<br>②SELプログラムやポジションNo.を確認し、ポジション出力操作機能の同時出力数が上限（16）を超えないようにする |
| 436       | SEL PTRQコマンド準備処理エラー   | 【内容・原因】<br>①PTRQ命令の設定値が範囲外<br>【対処方法】<br>①エラー発生プログラムステップのPTRQ命令の設定値が範囲外でないか確認する               |
| 437       | サブルーチンエラー               | 【内容・原因】<br>①コールしようとしたサブルーチンが定義されていない<br>②同一サブルーチンNo.に対して複数個所で定義されている<br>③サブルーチンNo.が設定範囲外<br>【対処方法】<br>①コールしたいサブルーチンを定義する<br>②同一サブルーチンNo.に複数個所で定義しないようにする<br>③設定範囲内（1～99）のサブルーチンNo.を指定する |
| 438       | MOD命令時除数0エラー             | 【内容・原因】<br>①MOD命令で除数にゼロを指定した<br>【対処方法】<br>①エラー発生プログラムステップのMOD命令の除数設定値を確認し、ゼロ以外を設定する       |
| 439       | DO、IF、ISネスト段数アンダーエラー | 【内容・原因】<br>①EDIF、またはEDDOの位置が異常<br>【対処方法】<br>①IF・IS命令とEDIF、DO命令とEDDOの対応、およびGOTO命令での構文外・構文内への分岐がないか確認する |

</contents>
