ファイル名: RSEL(MJ0392-4M)_page703

<overview>
このページは「11.3 エラー表」という章の一部で、主にエラー番号ごとにエラー名称、内容・原因、対処方法をまとめた表形式の構成となっています。テキストはエラーの詳細説明と対処法の記述で占められており、表形式で整理されています。図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表（動作解除関連）

| エラーNo. | エラー名称                 | 内容・原因 / 対処方法                                                                                              |
| -------- | ------------------------ | -------------------------------------------------------------------------------------------------------------- |
| 443      | ストリング No.エラー       | 【内容・原因】<br>①範囲外のストリング No.を指定した<br>【対処方法】<br>①範囲内のストリング No.を指定する<br>グローバル領域：300～999、ローカル領域：1～299 |
| 444      | 速度チェンジ条件エラー     | 【内容・原因】<br>①Sモーション（SCRV命令）使用動作軸に対して、CHVL命令を実行した<br>【対処方法】<br>①Sモーション（SCRV命令）使用動作軸に対して、CHVL命令を実行しないようにプログラムを変更する |
| 445      | 軸 No.エラー              | 【内容・原因】<br>①SEL命令で範囲外（1～8以外）の軸 No.を指定した<br>【対処方法】<br>①SEL命令で範囲内（1～8）の軸 No.を指定する |
| 446      | 軸パターンエラー           | 【内容・原因】<br>①DFIF命令で指定した連続した2ポジションデータの軸パターンが一致していない<br>②HOME命令で軸パターンに0を指定した<br>【対処方法】<br>①DFIF命令で指定した連続した2ポジションデータの軸パターンが一致するようにプログラムを変更する<br>②HOME命令で軸パターンに0を指定しない |
| 447      | コマンド実行中動作軸追加エラー | 【内容・原因】<br>①連続ポジション移動、または押付移動計算処理中にポジションデータの動作軸が追加された<br>【対処方法】<br>①連続ポジション移動、または押付移動計算処理中はポジションデータの動作軸を追加しない |
| 448      | コマンド実行中ポジション削除エラー | 【内容・原因】<br>①連続ポジション移動計算処理中に最終ポジションデータが削除された<br>【対処方法】<br>①連続ポジション移動計算処理中は最終ポジションデータを削除しない |
| 449      | 入出力ポート・フラグ No.エラー | 【内容・原因】<br>①SEL命令で設定範囲外の入出力ポート・フラグ No.を指定した<br>【対処方法】<br>①SEL命令を確認し、入出力ポート・フラグ No.を範囲内で設定する |
| 44A      | フラグ No.エラー           | 【内容・原因】<br>①SELプログラム（TIMR命令など）で範囲外のフラグ No.を指定した<br>【対処方法】<br>①エラー発生ステップのフラグ No.を範囲内で設定する |
| 44C      | シンボル検索エラー         | 【内容・原因】<br>①SELプログラムとシンボルの定義が不一致<br>【対処方法】<br>①SELプログラムとシンボルの定義を一致させる |
| 44D      | シンボル使用回数オーバーエラー | 【内容・原因】<br>①ソースシンボルを格納するための空きエリアが不足している<br>【対処方法】<br>①ソースシンボル使用回数を確認する |

</contents>
