ファイル名: RSEL(MJ0392-4M)_page705

<overview>
本ページは「エラー表」として構成されており、主に表形式で以下のセクションが含まれています。
- テキスト部分：エラー番号、エラー名称、内容・原因、対処方法の説明
- 表部分：エラー情報を体系的にまとめた表
グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（動作解除関連）

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                              |
| --------- | ------------------------------ | ----------------------------------------------------------------------------------------------------------------- |
| 456       | 速度指定エラー                 | 【内容・原因】<br>①「ポジションデータの速度設定値」と「VEL命令の速度設定値」のいずれも設定されていない<br>②VLMX命令を宣言して直交座標指定移動<br>【対処方法】<br>①「ポジションデータの速度設定値」と「VEL命令の速度設定値」のいずれかを設定する<br>②直交座標指定移動のときはVLMX命令でなく、VEL命令を使用する |
| 457       | 軸動作種別エラー             | 【内容・原因】<br>①回転移動軸に対して、命令（CIR、ARC、CIR2、ARC2、CIRS、ARCS、ARCD、ARCC）を行った<br>【対処方法】<br>①円弧移動命令を行わないようにプログラムを変更する |
| 458       | 原点センサー未検出エラー     | 【内容・原因】<br>①原点復帰途中でワークが周囲と干渉している<br>②アクチュエーターの摺動抵抗が大きい<br>③原点センサーの取付け不良<br>【対処方法】<br>①ワークが周囲と干渉していないか確認する<br>②電源遮断後、手で動かして摺動抵抗を確認する<br>③アクチュエーターを交換する |
| 459       | パレタイズNo.異常           | 【内容・原因】<br>①SEL命令（BGPA、PTNG、PINCなど）で範囲外のパレタイズNo.を指定した<br>【対処方法】<br>①プログラムを確認し、範囲内（1～32）のパレタイズNo.を指定するように変更する |
| 45A       | パレタイズ基点有効軸不整合エラー | 【内容・原因】<br>①パレタイズ時、PASE・PCHZにより設定されたPX・PY（・PZ）軸が、PASTにより設定された基点ポジションデータの軸パターン上で有効になっていない<br>【対処方法】<br>①パレタイズ時、PASE・PCHZにより設定されたPX・PY（・PZ）軸を、PASTにより設定された基点ポジションデータの軸パターン上で有効に設定する |
| 45B       | パレタイズ千鳥偶数列数設定異常 | 【内容・原因】<br>①PSLI命令の操作2に-1以下の値を設定した<br>【対処方法】<br>①PSLI命令の操作2に0以上の値を設定する |
| 45C       | パレタイズ軸方向ブレース点数設定値異常 | 【内容・原因】<br>①PAPI命令の操作1、または操作2に0以下が設定された<br>【対処方法】<br>①PAPI命令の操作1、または操作2に1以上を設定する |
| 45D       | パレタイズPASE、PAPS未宣言エラー | 【内容・原因】<br>①パレタイズ設定コマンドのPASE、PAPSのどちらも未設定<br>【対処方法】<br>①パレタイズ設定コマンドのPASE、PAPSのどちらかを設定する |

</contents>
