ファイル名: RSEL(MJ0392-4M)_page717

<overview>
本ページは「11.3 エラー表」と題されたセクションで構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキストは主に表の中にあり、各エラーの詳細説明が段落形式でまとめられています。図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラー番号、名称、内容・原因、対処方法）

| エラーNo. | エラー名称                     | 内容・原因                                                                                              | 対処方法                                                                                          |
| -------- | ---------------------------- | ----------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------ |
| 4A1      | SEL 言語オペランド範囲外エラー | 【内容・原因】<br>①SEL命令で指定したデータが範囲外                                                      | 【対処方法】<br>①エラーが発生したプログラムステップを確認し、範囲内のデータを指定する             |
| 4A2      | 複数軸指定エラー               | 【内容・原因】<br>①複数軸の各軸PTP動作を指定した<br>②複数軸のジョグ・インチングを指定した               | 【対処方法】<br>①各軸PTP動作は1軸のみ指定する<br>②ジョグ・インチングは1軸のみ指定する          |
| 4A3      | 条件不可軸使用エラー           | 【内容・原因】<br>①駆動源が遮断されている軸を使用しようとした<br>②エラー発生中の軸を使用しようとした       | 【対処方法】<br>①駆動源遮断解除後、軸を使用する<br>②エラー解除後、軸を使用する                   |
| 4A4      | スカラ・直動軸同時指定エラー   | 【内容・原因】<br>①スカラと直動軸を同時に指定した                                                      | 【対処方法】<br>①エラーが発生したプログラムステップを確認し、軸パターンやポジションデータでスカラと直動軸を同時に指定しないように変更する |
| 4A5      | 押付2軸以上指定エラー           | 【内容・原因】<br>①PUSH命令で複数軸を指定した                                                        | 【対処方法】<br>①エラーが発生したプログラムステップを確認し、PUSH命令で複数軸指定しないようにする |
| 4A6      | 押付アプローチ距離・速度指定エラー | 【内容・原因】<br>①PAPR命令で範囲外の距離を指定した<br>②PAPR命令で範囲外の速度を指定した                 | 【対処方法】<br>①PAPR命令で範囲内の距離を指定する<br>②PAPR命令で範囲内の速度（70mm/s以下）を指定する |
| 4A7      | Z相位置不良エラー              | 【内容・原因】<br>①エンコーダー故障<br>②原点センサー故障<br>③アクチュエーター内に異物混入               | 【対処方法】<br>①エンコーダー交換<br>②原点センサー交換<br>③アクチュエーターから異物除去          |
| 4A8      | サーボパケット計算ロジックエラー | 【内容・原因】<br>①SELユニット故障<br>②アブソリュートリセットを正常実行しなかった<br>※4AC「実位置ソフトリミットオーバーエラー」を併発している場合<br>③ノイズ | 【対処方法】<br>①SELユニット交換<br>②アブソリュートリセットを正しい手順で再度実行する<br>③ノイズ対策実施 |
</contents>
