ファイル名: RSEL(MJ0392-4M)_page718

<overview>
このページは「エラー表」として構成されており、主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラーの詳細説明と対処方法の文章で構成されており、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### エラー表

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                   |
| --------- | ------------------------------ | ----------------------------------------------------------------------------------------------------------------------- |
| 4A9       | 円・円弧計算ロジック異常       | 【内容・原因】<br>①SELユニット故障<br>②ノイズ<br>【対処方法】<br>①SELユニット交換<br>②ノイズ対策実施                 |
| 4AA       | 円・円弧計算エラー             | 【内容・原因】<br>①円弧移動できないポジションデータを指定した<br>【対処方法】<br>①円弧移動可能なポジションデータを指定する |
| 4AB       | SELデータエラー               | 【内容・原因】<br>①フラッシュROMイレーズ回数の上限を超えた<br>【対処方法】<br>①SELユニット交換                         |
| 4AC       | 実位置ソフトリミットオーバーエラー | 【内容・原因】<br>現在位置がソフトリミットを超えた<br>①サーボオフ時に外力がかかった<br>②アクチュエーターがオーバーシュートした<br>【対処方法】<br>ソフトリミット範囲内に戻す<br>①範囲外に移動しないようにする<br>②ゲイン調整を行う |
| 4AD       | ポジションデータタイプ異常     | 【内容・原因】<br>ポジションデータのタイプが異常<br>・不正なタイプ指定<br>・各軸座標系と直交座標系指定が混在<br>【対処方法】<br>SEL命令プログラミングマニュアルを参考に指定値を確認し修正する |
| 4AE       | 無効機能使用エラー             | 【内容・原因】<br>SEL命令、またはIAIプロトコルコマンドで現在の設定で使用できない機能を使用<br>【対処方法】<br>SEL命令プログラミングマニュアルまたはシリアル通信プロトコル仕様書を確認し、プログラムやコマンドを修正する |
| 4AF       | ドライバー未サポート機能エラー | 【内容・原因】<br>ドライバーがサポートしていない機能を使用しようとした<br>①RCON-DCに接続された軸をNTCH命令の対象軸として指定<br>【対処方法】<br>①SELプログラムの内容を確認する |
| 4B0       | 加減速度指定エラー             | 【内容・原因】<br>加減速度指定に異常<br>①加減速度指定値が0以下<br>②ACMX命令を宣言して直交座標系移動<br>【対処方法】<br>①②SELプログラム・IAIプロトコルコマンド・ポジションデータの速度指定を確認する |

</contents>
