ファイル名: RSEL(MJ0392-4M)_page726

<overview>
このページは「11.3 エラー表」というタイトルの表形式のセクションで構成されています。内容はエラー番号、エラー名称、及びそれぞれのエラーの内容・原因と対処方法を詳細に記載した表です。テキストは表の中に整理されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 11.3 エラー表

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                  |
| -------- | ---------------------------- | --------------------------------------------------------------------------------------------------------------------- |
| 612      | 非AUTOモード時チャンネルオープンエラー（サーボ使用中） | 【内容・原因】<br>①非AUTOモード、かつサーボ使用中にSIOチャンネルが開放された<br>【対処方法】<br>①AUTOモードでユーザー開放SIOチャンネルを開放する |
| 613      | PIOエラー                    | 【内容・原因】<br>①IO電源が供給されていない（21.6V未満に低下した）<br>【対処方法】<br>①IOケーブルへの電源供給状態の確認                     |
| 614      | 未サポート機能エラー           | 【内容・原因】<br>①ドライバー部分がサポートしていない機能を実行した<br>【対処方法】<br>①ドライバーの対応バージョンを確認する                     |
| 615      | 未サポートカードエラー         | 【内容・原因】<br>①IOパラメーターNo.225「I/Oコントロール」に未サポートのネットワークI/F種別を設定した<br>②IOスロットに未サポートのIOモジュールが搭載されている<br>【対処方法】<br>①当社まで連絡してください。<br>②ファームウェアバージョンを確認する |
| 616      | SDカードエラー（コントローラー） | 【内容・原因】<br>①SDカードスロットにSDカードが装着されていない<br>②SDカードに指定されたファイルが保存されていない<br>③SDカード内の指定されたファイルが壊れている<br>④SDカード故障<br>⑤SELユニット故障<br>【対処方法】<br>①SDカードを装着する<br>②SDカードに使用したいファイルを保存する<br>③SDカードに使用したいファイル保存し直す<br>④SDカード交換<br>⑤SELユニット交換 |
| 617      | イーサネットパラメーターエラー | 【内容・原因】<br>①システム予約のIPアドレスを設定した<br>【対処方法】<br>①I/OパラメーターNo.172-175 “イーサネットI/F自IPアドレス（＊）”の設定値を確認する<br>※＊には若い順に、H、MH、ML、Lが入る |
| 618      | 内部処理エラー                 | 【内容・原因】<br>①SELユニット故障<br>②ノイズ<br>③IOスロットボード故障<br>【対処方法】<br>①電源再投入しても発生する場合、SELユニット交換<br>②ノイズ対策を行う<br>③電源再投入しても発生する場合、IOスロットボード交換 |

</contents>
