ファイル名: RSEL(MJ0392-4M)_page73

<overview>
本ページは「200Vモーター電源」に関する仕様説明で構成されています。主に表形式で、電源電圧の仕様と各種アクチュエーターモーターのワット数に対応したモーター電源容量（VA）および瞬時最大モーター電源容量（VA）が示されています。テキスト部分は表のタイトルと電源電圧の説明のみで、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 200Vモーター電源
- 電源電圧: AC200～230V ±10%（電源ユニット RCON-PS2-3）

### 表
#### 200Vモーター電源仕様

| アクチュエーターモーターW数 | モーター電源容量【VA】 | 瞬時最大モーター電源容量【VA】 |
| :--------------------------- | :--------------------- | :------------------------------ |
| 30R (RS-30)                  | 138                    | 414                             |
| 60                           | 138                    | 414                             |
| 60 (RCS3-CTZ5)               | 197                    | 591                             |
| 100                          | 234                    | 702                             |
| 100S (LSA)                  | 283                    | 851                             |
| 150                          | 328                    | 984                             |
| 200                          | 421                    | 1263                            |
| 200S (DD (A))               | 503                    | 1509                            |
| 200S (LSA (S) -N15H以外)    | 486                    | 1458                            |
| 200S (LSA (S) -N15H)        | 773                    | 2319                            |
| 300S (LSA)                  | 662                    | 1986                            |
| 400                          | 920                    | 2760                            |
| 400 (RCS3-CT8)              | 1230                   | 3690                            |
| 600                          | 1164                   | 2328                            |
| 600 (DD (A))                | 1462                   | 4386                            |
| 750                          | 1521                   | 3042                            |
| 750S                        | 1521                   | 4563                            |
</contents>
