ファイル名: RSEL(MJ0392-4M)_page740

<overview>
本ページは「ドライバーユニットのアラームコード」に関する内容で構成されています。主にテキストと表で構成されており、アラームコードごとにアラーム名称とその原因および対策が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### ドライバーユニットのアラームコード（動作解除レベル）

| アラームコード | アラーム名称                         | 原因/対策                                                                                                                                                                                                                   |
|:--------------:|:----------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 080            | サーボOFF時移動指令                 | 原因：サーボOFF状態で移動指令を行った。<br>対策：サーボON状態を確認してから（サーボON信号SVまたは位置決め完了信号PENDがONの状態）移動指令を行う。                                                                                   |
| 082            | 原点復帰未完了状態でのポジション移動指令 | 原因：原点復帰未完了状態でポジション移動指令が入力された。<br>対策：原点復帰完了信号HENDがON状態を確認してから移動指令を行う。                                                                                                   |
| 083            | 原点復帰未完了時数値指令             | 原因：原点復帰未完了状態で絶対位置の数値指令を行った。（フィールドネットワークなどによる直接数値指令）<br>対策：原点復帰動作をさせ、原点復帰完了信号HENDを確認してから数値指令を行う。                                               |
| 084            | 原点復帰実行中の移動指令             | 原因：原点復帰実行中に移動指令を行った。<br>対策：原点復帰動作をさせ、原点復帰完了信号HENDを確認してから移動指令を行う。                                                                                                   |
| 090            | サーボON状態でのソフトウェアリセット指令 | 原因：サーボON状態の時にソフトウェアリセット指令を行った。<br>対策：サーボOFF状態（SV信号がOFFの状態）を確認してからソフトウェアリセット指令を行う。                                                                       |
| 092            | 移動中PWRT信号検出                  | 原因：現在位置書込み信号PWRTがジョグ移動中のときに入力された。<br>対策：JOG+/-信号がONしていない、また停止中（移動中信号MOVEがOFF状態）を確認してから入力する。                                                           |
| 093            | 原点復帰未完了状態PWRT信号検出       | 原因：現在位置書込み信号PWRTが原点復帰未完了のときに入力された。<br>対策：最初に原点復帰信号HOMEを入力し原点復帰を行い、原点復帰完了（HEND信号がON状態）を確認してから入力する。                                               |
| 09F            | 周期同期エラー                     | 原因：トータルフレーム通信の通信異常が発生している。<br>①連結コネクターまたはSCON接続コネクターが正しく接続されていない。<br>②内部の信号線またはSCON接続ケーブルが断線している。<br>③ターミナルユニットまたはターミナルコネクター（SCON用）を取付けていない。<br>④ノイズの影響による通信異常<br>対策：①②各ユニット同士がしっかり連結されているか確認し、いったんユニットの連結を外して再度連結しなおす。電源再投入しても再発する場合は連絡。③ターミナルユニットまたはターミナルコネクターを取付ける。④ケーブル引回し変更などノイズ対策を行う。 |
| 0A2            | ポジションデータ異常               | 原因：①ポジションテーブルの位置欄に目標位置が設定されていないポジションNo.の移動指令を行った。<br>②「位置」欄の目標位置の値がパラメーターNo.3,4“ソフトリミットの設定値”を超えている。<br>③制振制御機能を有効にしたまま押付け動作を指定した。<br>対策：①目標位置を設定する。②目標位置の値をソフトリミット設定値以内に変更する。③制振制御機能と押付け動作を同時に使用できないため、どちらか一方のみ有効になるよう設定する。 |

</contents>
