ファイル名: RSEL(MJ0392-4M)_page757

<overview>
このページは「エレシリンダーのアラームの原因と対策」に関する内容で構成されています。  
主にテキストと表で構成されており、テキスト部分ではアラームグループA（過負荷アラーム）の説明があり、表部分では各アラーム原因とその対処方法が詳細に示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 【アラームグループA：過負荷アラーム】
エレシリンダー可動部が目標位置移動中に異常停止した場合の原因と対策について説明しています。

### 表
| No. | 原因 | 対処 |
| --- | --- | --- |
| 1 | 外部障害物と接触、もしくは引張られて動作できない可能性があります。 | 外部障害物など、外部負荷となるものを取り除いてください。 |
| 2 | カタログ記載のスペックを超えた条件で、エレシリンダーを使用している可能性があります。 | 可搬質量・加減速度・速度などの仕様値を確認して、適切に調整してください。 |
| 3 | 異物の侵入・ブレーキの故障・モーターの故障などが考えられます。 | “エレシリンダー内部ボールねじ・ガイドのグリースの枯渇”や“異物の侵入有無”など目視確認を行ってください。<br>侵入している場合、内部清掃およびグリース補給を行ってください。<br>モーターを外して本体の摺動を確認してください。<br>摺動に異常がない場合はモーター故障もしくはブレーキ故障の可能性があります。モーター交換を推奨します。 |
| 4 | 取付時にベースが歪み、ガイドの摺動抵抗が大きくなっている可能性があります。 | 取付面は機械加工またはそれに準じた精度を持つ平面とし、平面度は0.05mm/m以内としてください。<br>ベース固定ボルトの締付トルク推奨値は取扱説明書を参照してください。 |
| 5 | 24V電源駆動の場合、ピーク時電源容量が4.2Aを下回っています。 | ピーク時電流が4.2A以上（1軸当たり）ある電源を使用してください。 |
| 6 | 200Vサーボモーターの場合、AC100V（またはAC200V）の電源電圧が低下しています。 | 電源電圧を確認し、低下している場合は規格内の電源電圧になるよう対処してください。<br>AWG14以下の電線の場合はAWG14の電線を使用してください。 |
| 7 | EC接続ユニット用ケーブルの接続端子で接触不良を起こしているため、ピーク電流が流れていません。 | 接続端子・コネクターなどで緩み・接触不良・断線が発生していないか確認してください。 |
| 8 | “スムーズ加減速度設定”有効で動作中に“次の移動指令”を出すタイミングが速いため、減速距離が不足し到達位置の計算結果が動作範囲を超えました。 | “次の移動指令”を出すタイミングを、最初の移動が完了した後にしてください。 |
| 9 | 可動部が動けなくなっている状態、もしくはメカストッパーに押当たった状態で24V電源をONにした。 | 動けなくなっている状態を解消してください。<br>メカストッパーに押当たっている場合は、5mm以上離してから改めて電源をONにしてください。 |
</contents>
