ファイル名: RSEL(MJ0392-4M)_page765

<overview>
本ページは「12.2 定期点検項目」に関する内容で構成されています。  
ページ全体は以下のセクションで構成されています。  
- テキスト部分：RSELシステムの定期点検の必要性と点検時期の説明  
- 表部分：定期点検項目の詳細をまとめた表（点検項目、点検内容、判定基準、処置）  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
RSELシステムは環境条件により電子部品の劣化が考えられるため、定期的な点検が必要です。  
点検時期は6ヶ月～1年に1回が標準ですが、周囲環境に応じて点検間隔を短くしてください。

### 表
#### 定期点検項目一覧

| No. | 点検項目     | 点検内容                                                                                     | 判定基準                                   | 処置                                                                                     |
|:----|:-------------|:--------------------------------------------------------------------------------------------|:------------------------------------------|:-----------------------------------------------------------------------------------------|
| 1   | 供給電源     | 電源端子台で測定して電圧変動は基準内にあるか                                             | 電圧変動範囲内 24V ±10%                    | 供給電源が判定基準内に入るように変更してください。                                     |
| 2   | 周囲環境     | 周囲温度（盤内使用の場合は盤内温度が周囲温度になる）                                      | 0～55℃                                    | 温度計で周囲温度を測定し、使用周囲温度に入るように周囲環境を整備してください。<br>簡易アブソユニットやSCON-CBコントローラーは0～40℃。 |
|     |              | 周囲湿度（盤内使用の場合は盤内湿度）                                                     | 85%RH以下結露なきこと                      | 湿度計で周囲湿度を測定し、使用周囲湿度に入るように周囲環境を整備してください。         |
|     |              | 雰囲気：腐食性ガス、引火性ガスなしこと                                                  | なし                                       | 匂い、またはガスセンサーなどでチェックしてください。                                 |
|     |              | 雰囲気：水、油、薬品などの飛沫がかかっていないこと                                      | なし                                       | 除去し、遮蔽してください。                                                               |
|     |              | 雰囲気：ちり、ほこり、塩分、鉄粉などの粉塵が積っていないこと                            | なし                                       | 除去し、遮蔽してください。                                                               |
|     |              | 日光が直接当っていないか                                                                 | 直射日光が当らないこと                      | 遮蔽してください。                                                                       |
|     |              | 本体に直接振動や衝撃が伝わっていないか                                                  | 耐振動、耐衝撃の仕様の範囲内であること    | 耐振動、耐衝撃用のクッションなどを設置してください。                                   |
|     |              | ノイズ発生源が近くにないか                                                               | なし                                       | ノイズ源を遠ざけるか、遮蔽対策を実施してください。                                     |
| 3   | 取付状態     | 各ユニットのDINレールへの取付け状態                                                     | ユニット取付けにゆるみなどないこと        | 再装着とロックを実施してください。                                                     |
| 4   | 接続状態     | 各ユニットはしっかり連結されているか                                                   | 連結部がしっかり締まっていること           | ゆるみがないように締め直してください。                                                 |
|     |              | 簡易アブソユニットとドライバーユニット間のケーブルはしっかり挿入されているか           | 完全に挿入されている                        | 再挿入を実施してください。                                                             |
</contents>
