ファイル名: RSEL(MJ0392-4M)_page784

<overview>
本ページは「13.2 接続可能なアクチュエーター」に関する内容で、主に表形式で構成されています。表はRCP6シリーズの各種アクチュエーターの仕様を示しており、タイプ別にエンコーダーパルス数、リード長、取付方向、速度、加減速度、押付力、定格押付速度などの詳細な性能データが記載されています。テキスト部分は表のタイトルや注釈が中心で、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 13.2 接続可能なアクチュエーター
RCP6シリーズのアクチュエーター仕様を示す表です。注釈として、最高速度・最大加減速度は高出力機能有効時の値であることが記載されています。

### 表
#### RCP6シリーズ アクチュエーター仕様

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付方向 | 最低速度 (mm/s) | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付力 (N) | 最大押付力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|--------|----------|----------------------|------------|----------|-----------------|-----------------|------------------|----------------|----------------|-----------------------|
| RCP6 RCP6CR (ワイドスライダータイプ) 標準仕様/クリーン仕様 | 【標準】【クリーン】WSA16C | ボールねじ | 8192 | 5 | 水平 | 7 | 195(at 50〜750st)<br>175(at 800st)<br>160(at 850st)<br>145(at 900st)<br>130(at 950st)<br>120(at 1000st)<br>110(at 1050st)<br>100(at 1100st) | 1 | 273 | 956 | 20 |
|  |  |  |  |  | 垂直 |  | 170(at 50〜800st)<br>160(at 850st)<br>145(at 900st)<br>130(at 950st)<br>120(at 1000st)<br>110(at 1050st)<br>100(at 1100st) | 0.5 |  |  |  |
| RCP6 (ワイドスライダータイプ) | 【標準】WSA16R | ボールねじ | 8192 | 20 | 水平 | 25 | 600(at 50〜850st)<br>590(at 900st)<br>535(at 950st)<br>490(at 1000st)<br>450(at 1050st)<br>415(at 1100st) | 1 | 68 | 239 |  |
|  |  |  |  | 10 | 水平 | 13 | 365(at 50〜750st)<br>355(at 800st)<br>320(at 850st)<br>290(at 900st)<br>265(at 950st)<br>240(at 1000st)<br>225(at 1050st)<br>205(at 1100st) | 1 | 137 | 478 | 20 |
|  |  |  |  |  | 垂直 |  | 210(at 50〜1050st)<br>205(at 1100st) | 0.5 |  |  |  |
|  |  |  |  | 5 | 水平 | 7 | 170(at 50〜800st)<br>160(at 850st)<br>145(at 900st)<br>130(at 950st)<br>120(at 1000st)<br>110(at 1050st)<br>100(at 1100st) | 1 | 273 | 956 |  |
|  |  |  |  |  | 垂直 |  | 145(at 50〜900st)<br>130(at 950st)<br>120(at 1000st)<br>110(at 1050st)<br>100(at 1100st) | 0.5 |  |  |  |
| RCP6 (ロッドタイプ) | RA4C RA4R | ボールねじ | 8192 | 16 | 水平 | 20 | 840 | 1 | 21 | 48 | 40 |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  |  | 10 | 水平 | 13 | RA4C:700<br>RA4R:610 | 1 | 22 | 77 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  |  | 5 | 水平 | 7 | 350 | 1 | 44 | 155 | 20 |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  |  | 2.5 | 水平 | 4 | 175 | 1 | 88 | 310 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  | RA6C RA6R | ボールねじ | 8192 | 20 | 水平 | 25 | 800 | 1 | 16 | 56 | 20 |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  |  | 12 | 水平 | 15 | 700 | 1 | 26 | 93 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  |  | 6 | 水平 | 8 | 450 | 1 | 53 | 185 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  |  | 4 | 水平 | 4 | 225 | 1 | 106 | 370 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |

#### 注釈
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は高出力機能有効時の値です。（高出力設定が無関係の機種も一部あります）

</contents>
