ファイル名: RSEL(MJ0392-4M)_page79

<overview>
このページは「200V電源ユニット（RCON-PS2-3）の接続制限」に関する説明で構成されています。テキスト部分では、200Vアクチュエーターを接続する際のモーター電源に関する制約について述べられています。表部分は2つあり、1つ目は200Vモーター電源の選定計算用の制限値、2つ目は各アクチュエーター型式ごとの計算用モーターW数の一覧表です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 200V電源ユニット（RCON-PS2-3）の接続制限
RCON-SC-1を使用して200Vアクチュエーターを接続する場合のモーター電源に関する制約について説明しています。接続するアクチュエーターのモーターW数の合計が、選定計算用の制限値を超えていないかを確認する必要があります。

また、特定のアクチュエーターは計算用モーターW数で計算することが求められています。

### 表
#### 200Vモーター電源の選定計算用制限値

| 項目                 | 選定計算用の制限値 |
| :------------------- | :----------------- |
| 200Vモーター電源（単相） | 1,600W             |
| 200Vモーター電源（三相） | 2,400W             |

#### アクチュエーター型式別計算用モーターW数

| アクチュエーター型式                         | 三相電源供給 | 単相電源供給 | 備考           |
| :------------------------------------------ | :----------- | :----------- | :------------- |
| LSA-S6S□/S8S□/S8H□/LSA(S)-N10S□             | 100          | 300          | 1スライダー当たり |
| LSA-S10S□/H8S□/H8H□/L15S□/N19SS LSA(S)-N15S□/N15H□ | 200          | 600          | 1スライダー当たり |
| LSA-W21S□                                   | 400          | 使用不可     | 1スライダー当たり |
| DD(A)-LT18(C) / T18(C)                      | 200          | 使用不可     |                |
| DD(A)-LH18(C) / H18(C)                      | 600          | 使用不可     |                |
| RCS3-CTZ5C                                  | 120          | 使用不可     |                |
| RCS3-CT8C                                   | 800          | 使用不可     |                |
| IS(P)B-WXM(X)                              | 750          | 使用不可     |                |

</contents>
