ファイル名: RSEL(MJ0392-4M)_page809

<overview>
本ページは「RCP3シリーズ」のアクチュエーターに関する技術仕様表で構成されています。ページ全体は表形式で、アクチュエーターシリーズごとにタイプ、送りねじの種類、エンコーダパルス数、リード長さ、取付方向、最低速度、最高速度、最大加減速度、最小押付力、最大押付力、定格押付速度などの性能パラメータが詳細に記載されています。テキスト部分は見出しと表のタイトルのみで、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### RCP3シリーズ
接続可能なアクチュエーターの仕様一覧表です。

### 表
#### RCP3シリーズ アクチュエーター仕様

| アクチュエーターシリーズ | タイプ               | 送りねじ     | エンコーダパルス数 | リード[mm] | 取付方向 | 最低速度 (mm/s) | 最高速度 (mm/s)                                                                 | 最大加減速度 (G) | 最小押付力 (N) | 最大押付力 (N) | 定格押付速度 (mm/s) |
|--------------------------|----------------------|--------------|--------------------|------------|----------|-----------------|---------------------------------------------------------------------------------|------------------|----------------|----------------|---------------------|
| RCP3 (スライダータイプ)  | SA6C SA6R            | ボールねじ   | 800                | 6          | 水平     | 8               | 300(at 50～550st)<br>285(at 600st)<br>245(at 650st)<br>210(at 700st)<br>185(at 750st)<br>165(at 800st) | 0.7              | 80             | 115            | 20                  |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.3              |                |                |                     |
|                          |                      |              |                    | 3          | 水平     | 4               | 150(at 50～550st)<br>140(at 600st)<br>120(at 650st)<br>105(at 700st)<br>90(at 750st)<br>80(at 800st)   | 0.7              | 160            | 230            |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.3              |                |                |                     |
| RA2AC RA2AR              | すべりねじ           |              | 800                | 4          | 水平/垂直| 5               | 180(at 25st)<br>200(at 50～100st)                                              | 0.9              | 6.6            |                | 5                   |
|                          |                      |              |                    | 2          |          | 3               | 100                                                                             | 0.2              | 1.9            | 13.2           |                     |
|                          |                      |              |                    | 1          |          | 2               | 50                                                                              |                  | 3.8            | 26.4           |                     |
|                          | ボールねじ標準タイプ |              |                    | 4          | 水平     | 5               | 180(at 25st)<br>200(at 50～100st)                                              | 0.3              | 3.6            | 12.6           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 2          | 水平     | 3               | 100                                                                             | 0.3              | 7.2            | 25.2           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 1          | 水平     | 2               | 50                                                                              | 0.3              | 14.4           | 50.4           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          | ボールねじ高推力タイプ|              |                    | 4          | 水平     | 5               | 180(at 25st)<br>200(at 50～100st)                                              | 0.3              | 6.6            | 23.1           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 2          | 水平     | 3               | 100                                                                             | 0.3              | 13.2           | 46.2           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 1          | 水平     | 2               | 50                                                                              | 0.3              | 26.4           | 92.4           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
| RCP3 (ロッドタイプ)      | すべりねじ           |              | 800                | 6          | 水平/垂直| 8               | 180(at 25st)<br>280(at 50st)<br>300(at 75～150st)                             | 0.6              | 4.4            |                | 5                   |
|                          |                      |              |                    | 4          |          | 5               | 180(at 25st)<br>200(at 50～150st)                                              | 0.2              | 0.9            | 6.6            |                     |
|                          |                      |              |                    | 2          |          | 3               | 100                                                                             |                  | 1.9            | 13.2           |                     |
|                          | ボールねじ標準タイプ |              |                    | 6          | 水平     | 8               | 180(at 25st)<br>280(at 50st)<br>300(at 75～150st)                             | 0.3              | 1.8            | 6.3            |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 4          | 水平     | 5               | 180(at 25st)<br>200(at 50～150st)                                              | 0.3              | 3.6            | 12.6           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 2          | 水平     | 3               | 100                                                                             | 0.3              | 7.2            | 25.2           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 1          | 水平     | 2               | 50                                                                              | 0.3              | 14.4           | 50.4           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          | ボールねじ高推力タイプ|              |                    | 6          | 水平     | 8               | 180(at 25st)<br>280(at 50st)<br>300(at 75～150st)                             | 0.3              | 4.4            | 15.4           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 4          | 水平     | 5               | 180(at 25st)<br>200(at 50～150st)                                              | 0.3              | 6.6            | 23.1           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 2          | 水平     | 3               | 100                                                                             | 0.3              | 13.2           | 46.2           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |
|                          |                      |              |                    | 1          | 水平     | 2               | 50                                                                              | 0.3              | 26.4           | 92.4           |                     |
|                          |                      |              |                    |            | 垂直     |                 |                                                                                 | 0.2              |                |                |                     |

</contents>
