ファイル名: RSEL(MJ0392-4M)_page81

<overview>
このページは「電源容量」に関する技術仕様の説明で構成されています。テキスト部分ではEC200V仕様のアクチュエーターに関するモーター駆動用DC電源（PSA-200）の制限について記載されています。表部分は2つあり、1つ目はAC100VおよびAC200V電源仕様の最大接続軸数と最大接続モーターW数の比較表、2つ目はエレシリンダーの型式ごとのモーターW数一覧表です。注意事項として、モーター電源ケーブルの最大長さや最大接続軸数の制限に関する注意がテキストで説明されています。グラフや図はありません。
</overview>

<contents>
### テキスト
#### EC200V仕様最大接続軸
EC200V仕様のアクチュエーターには、モーター駆動用DC電源（PSA-200）に関する制限があり、以下の通りです。

接続するエレシリンダーのモーターW数の合計が、表の制限値を超えない軸数を接続可能です。ただし、最大接続軸数は6軸です。

#### 注意
エレシリンダー本体とモーター駆動用DC電源（PSA-200）間のモーター電源ケーブルCB-EC-PW□□□-RBの最大長は10mです。最大接続軸数は6軸ですが、エレシリンダー本体の配置によってはモーター電源ケーブルが届かない場合があります。その場合は追加のモーター駆動用DC電源（PSA-200）が必要となるため注意してください。

### 表
#### モーター駆動用DC電源（PSA-200）に関する仕様制限

| 仕様               | 最大接続軸数 | 最大接続モーターW数 |
| :----------------- | :----------- | :------------------ |
| AC100V 電源仕様    | 6軸          | 800W                |
| AC200V 電源仕様    | 6軸          | 1,600W              |

#### エレシリンダーのモーターW数一覧

| 型式                  | モーターW数 |
| :-------------------- | :---------- |
| EC-S10□               | 100W        |
| EC-S10X□              | 100W        |
| EC-B8SS               | 200W        |
| EC-S13□               | 200W        |
| EC-S13X□              | 200W        |
| EC-S15□               | 400W        |
| EC-S15X□              | 400W        |
| EC-S18□               | 600W        |
| EC-S18X□              | 600W        |
| EC-S18LP              | 750W        |
| EC-S18XLP             | 750W        |
</contents>
