ファイル名: RSEL(MJ0392-4M)_page810

<overview>
このページは「13.2 接続可能なアクチュエーター」に関する内容で、RCP3シリーズの各種アクチュエーターの仕様を示した表で構成されています。テキストは見出しと表のタイトルのみで、ページ全体は表部分が主体です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 13.2 接続可能なアクチュエーター
RCP3シリーズ

### 表
#### RCP3シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ       | 送りねじ | エンコーダパルス数 | リード[mm] | 取付方向 | 最低速度 (mm/s) | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付け力 (N) | 最大押付け力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|--------------|----------|--------------------|------------|----------|-----------------|-----------------|------------------|------------------|------------------|------------------------|
| RCP3 (テーブルタイプ)    | TA3C TA3R    | ボールねじ | 800                | 6          | 水平     | 8               | 300             | 0.3              | 10               | 15               | 20                     |
|                          |              |          |                    |            | 垂直     |                 | 200             | 0.2              |                  |                  |                        |
|                          |              |          |                    | 4          | 水平     | 5               | 200             | 0.3              | 15               | 22               |                        |
|                          |              |          |                    |            | 垂直     |                 | 133             | 0.2              |                  |                  |                        |
|                          |              |          |                    | 2          | 水平     | 3               | 100             | 0.2              | 30               | 45               |                        |
|                          |              |          |                    |            | 垂直     |                 | 67              |                  |                  |                  |                        |
|                          | TA4C TA4R    | ボールねじ | 800                | 6          | 水平     | 8               | 300             | 0.3              | 15               | 25               | 20                     |
|                          |              |          |                    |            | 垂直     |                 | 200             | 0.2              |                  |                  |                        |
|                          |              |          |                    | 4          | 水平     | 5               | 200             | 0.3              | 22               | 37               |                        |
|                          |              |          |                    |            | 垂直     |                 |                 | 0.2              |                  |                  |                        |
|                          |              |          |                    | 2          | 水平/垂直 | 3              | 100             | 0.2              | 45               | 75               |                        |
|                          | TA5C TA5R    | ボールねじ | 800                | 10         | 水平     | 13              | 465             | 0.3              | 21               | 34               | 20                     |
|                          |              |          |                    |            | 垂直     |                 | 400             | 0.2              |                  |                  |                        |
|                          |              |          |                    | 5          | 水平     | 7               | 250             | 0.3              | 41               | 68               |                        |
|                          |              |          |                    |            | 垂直     |                 |                 | 0.2              |                  |                  |                        |
|                          |              |          |                    | 2.5        | 水平/垂直 | 4              | 125             | 0.2              | 82               | 136              |                        |
|                          | TA6C TA6R    | ボールねじ | 800                | 12         | 水平     | 15              | 560             | 0.3              | 35               | 60               | 20                     |
|                          |              |          |                    |            | 垂直     |                 | 500             | 0.2              |                  |                  |                        |
|                          |              |          |                    | 6          | 水平     | 8               | 300             | 0.3              | 70               | 110              |                        |
|                          |              |          |                    |            | 垂直     |                 |                 | 0.2              |                  |                  |                        |
|                          |              |          |                    | 3          | 水平/垂直 | 4              | 150             | 0.2              | 140              | 189              |                        |
|                          | TA7C TA7R    | ボールねじ | 800                | 12         | 水平     | 15              | 600             | 0.3              | 35               | 60               | 20                     |
|                          |              |          |                    |            | 垂直     |                 | 580             | 0.2              |                  |                  |                        |
|                          |              |          |                    | 6          | 水平     | 8               | 300             | 0.3              | 70               | 110              |                        |
|                          |              |          |                    |            | 垂直     |                 |                 | 0.2              |                  |                  |                        |
|                          |              |          |                    | 3          | 水平/垂直 | 4              | 150             | 0.2              | 140              | 189              |                        |

</contents>
