ファイル名: RSEL(MJ0392-4M)_page814

<overview>
このページは「RCP2シリーズ」の接続可能なアクチュエーターに関する技術仕様表で構成されています。主に表形式で、各アクチュエーターのタイプ、送りねじの種類、エンコーダパルス数、リード長、取付方向、最低速度、最高速度、最大加減速度、押付力（最小・最大）、定格押付速度などの性能パラメータが詳細に示されています。テキストは注釈が1つあり、表の下部に配置されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 13.2 接続可能なアクチュエーター
RCP2シリーズの各種アクチュエーターの仕様を示す。

注1: RCP2-RA2Cは、リード長1mmのボールねじと減速比1/2の減速機が直結されている。

### 表
#### RCP2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダパルス数 | リード (mm) | 取付方向 | 最低速度 (mm/s) | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付力 (N) | 最大押付力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|--------|----------|--------------------|-------------|----------|-----------------|-----------------|------------------|----------------|----------------|-----------------------|
| RCP2W (防塵防滴スライダータイプ) | SA16C | ボールねじ | 800 | 8 | 水平 | 10 | 180 | 0.2 | - | - | - |
|                          |        |          |      | 4 | 水平 | 5 | 133 | - | - | - | - |
| RCP2 (ベルトタイプ)       | BA6 BA6U | ベルト | 800 | 54相当 | 水平 | 100 | 1000 | 0.5 | - | - | - |
|                          | BA7 BA7U | ベルト | 800 | 54相当 | 水平 | 100 | 1500 | 0.5 | - | - | - |
| RCP2 (ロッドタイプ)       | RA2C (注1) | ボールねじ | 800 | 1 | 水平/垂直 | 2 | 25 | 0.05 | 50 | 100 | 3 |
|                          | RA3C | ボールねじ | 800 | 5 | 水平/垂直 | 7 | 187 | 0.2 | 21 | 73.5 | 20 |
|                          |        |          |      | 2.5 | 水平/垂直 | 4 | 114 | - | 50 | 156.8 | - |
|                          | RGD3C | ボールねじ | 800 | 5 | 水平/垂直 | 7 | 187 | 0.2 | 21 | 73.5 | 20 |
|                          |        |          |      | 2.5 | 水平 | 4 | 114 | - | 50 | 156.8 | - |
|                          |        |          |      |     | 垂直 | 93 | - | - | - | - | - |
|                          | RA4C RGS4C RGD4C | ボールねじ | 800 | 10 | 水平/垂直 | 13 | 458 (at 50～250st) 350 (at 300st) | 0.2 | 30 | 150 | 20 |
|                          |        |          |      | 5 | 水平/垂直 | 7 | 250 (at 50～200st) 237 (at 250st) 175 (at 300st) | - | 75 | 284 | - |
|                          |        |          |      | 2.5 | 水平 | 4 | 125 (at 50～200st) 118 (at 250st) 87 (at 300st) | - | 150 | 358 | - |
|                          |        |          |      |     | 垂直 | 114 (at 50～250st) 87 (at 300st) | - | - | - | - | - |
|                          | RA6C RGS6C RGD6C | ボールねじ | 800 | 16 | 水平 | 20 | 450 | 0.2 | 75 | 240 | 20 |
|                          |        |          |      |     | 垂直 | 400 | - | - | - | - | - |
|                          |        |          |      | 8 | 水平/垂直 | 10 | 210 | - | 130 | 470 | - |
|                          |        |          |      | 4 | 水平/垂直 | 5 | 130 | - | 300 | 800 | - |
|                          | RA8C RA8R | ボールねじ | 800 | 10 | 水平/垂直 | 13 | RA8C:300 RA8R:200 | 0.2 | 286 | 1000 | 10 |
|                          |        |          |      | 5 | 水平/垂直 | 7 | RA8C:150 RA8R:100 | 0.1 | 571 | 2000 | - |
|                          | RA10C | ボールねじ | 800 | 10 | 水平/垂直 | 10 | 250 | 0.04 | 500 | 1500 | 10 |
|                          |        |          |      | 5 | 水平/垂直 | 5 | 125 | 0.02 | 1000 | 3000 | - |
|                          |        |          |      | 2.5 | 水平/垂直 | 1 | 63 | 0.01 | 3100 | 6000 | - |
|                          | SRA4R SRGS4R SRGD4R | ボールねじ | 800 | 5 | 水平 | 7 | 250 | 0.3 | 32 | 112 | 20 |
|                          |        |          |      |     | 垂直 | - | - | 0.2 | 64 | 224 | - |
|                          |        |          |      | 2.5 | 水平/垂直 | 4 | 125 | 0.2 | - | - | - |
| RCP2W (防塵防滴ロッドタイプ) | RA4C | ボールねじ | 800 | 10 | 水平/垂直 | 13 | 450 (at 50～250st) 350 (at 300st) | 0.2 | 30 | 150 | 20 |
|                          |        |          |      | 5 | 水平/垂直 | 7 | 190 (at 50～250st) 175 (at 300st) | - | 75 | 284 | - |
|                          |        |          |      | 2.5 | 水平 | 4 | 125 (at 50～200st) 115 (at 250st) 85 (at 300st) | - | 150 | 358 | - |
|                          |        |          |      |     | 垂直 | 115 (at 50～250st) 85 (at 300st) | - | - | - | - | - |

</contents>
