ファイル名: RSEL(MJ0392-4M)_page819

<overview>
本ページは「RCA2シリーズ」の接続可能なアクチュエーターに関する仕様表で構成されています。  
主に表形式で、アクチュエーターシリーズごとのタイプ、送りねじの種類、モーター出力、エンコーダーパルス数、リード長さ、取付方向、最低速度、最高速度、最大加減速度、最大押付力（静止時・動作時）、定格押付速度が詳細に記載されています。  
テキスト部分は見出しと表の説明に限定されており、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### RCA2シリーズ
接続可能なアクチュエーターの仕様一覧表です。

### 表
#### RCA2シリーズ アクチュエーター仕様

| アクチュエーターシリーズ | タイプ     | 送りねじ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付方向 | 最低速度(mm/s) | 最高速度(mm/s)          | 最大加減速度(G) | 最大押付力(静止時)(N) | 最大押付力(動作時)(N) | 定格押付速度(mm/s) |
|--------------------------|------------|----------|-----------------|----------------------|------------|----------|----------------|-------------------------|-----------------|-----------------------|-----------------------|--------------------|
| TCA3NA TWA3NA TFA3NA     | ボールねじ | 10       | 1048            | 4                    | 水平       | 4        | 200            | 0.3                     | -               | -                     | -                     | -                  |
|                          |            |          |                 | 4                    | 垂直       | 4        | 200            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 2                    | 水平       | 2        | 100            | 0.3                     |                 |                       |                       |                    |
|                          |            |          |                 | 2                    | 垂直       | 2        | 100            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 1                    | 水平/垂直 | 1        | 50             | 0.2                     |                 |                       |                       |                    |
|                          | すべりねじ |          |                 | 4                    | 水平       | 4        | 200            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 2                    | 垂直       | 2        | 100            |                         |                 |                       |                       |                    |
|                          |            |          |                 | 1                    | 水平/垂直 | 1        | 50             |                         |                 |                       |                       |                    |
| TCA4NA TWA4NA TFA4NA     | ボールねじ | 20       | 1048            | 6                    | 水平       | 6        | 270(at 30st)   | 0.3                     | -               | -                     | -                     | -                  |
|                          |            |          |                 | 6                    | 水平       | 6        | 300(at 50st)   |                         |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 垂直       | 6        | 220(at 30st)   | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 垂直       | 6        | 300(at 50st)   |                         |                 |                       |                       |                    |
|                          |            |          |                 | 4                    | 水平       | 4        | 200            | 0.3                     |                 |                       |                       |                    |
|                          |            |          |                 | 4                    | 垂直       | 4        | 200            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 2                    | 水平/垂直 | 2        | 100            | 0.2                     |                 |                       |                       |                    |
|                          | すべりねじ |          |                 | 6                    | 水平       | 6        | 220(at 30st)   | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 水平       | 6        | 300(at 50st)   |                         |                 |                       |                       |                    |
|                          |            |          |                 | 4                    | 垂直       | 4        | 200            |                         |                 |                       |                       |                    |
|                          |            |          |                 | 2                    | 水平/垂直 | 2        | 100            |                         |                 |                       |                       |                    |
| TA4C TA4R                | ボールねじ | 10       | 800             | 6                    | 水平       | 8        | 300            | 0.3                     | -               | -                     | -                     | -                  |
|                          |            |          |                 | 6                    | 垂直       | 8        | 300            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 4                    | 水平       | 5        | 200            | 0.3                     |                 |                       |                       |                    |
|                          |            |          |                 | 4                    | 垂直       | 5        | 200            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 2                    | 水平/垂直 | 3        | 100            | 0.2                     |                 |                       |                       |                    |
| TA5C TA5R                | ボールねじ | 20       | 800             | 10                   | 水平       | 13       | 465            | 0.3                     | -               | -                     | -                     | -                  |
|                          |            |          |                 | 10                   | 垂直       | 13       | 400            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 5                    | 水平       | 7        | 250            | 0.3                     |                 |                       |                       |                    |
|                          |            |          |                 | 5                    | 垂直       | 7        | 250            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 2.5                  | 水平/垂直 | 4        | 125            | 0.2                     |                 |                       |                       |                    |
| TA6C TA6R                | ボールねじ | 20       | 800             | 12                   | 水平       | 15       | 560            | 0.3                     | -               | -                     | -                     | -                  |
|                          |            |          |                 | 12                   | 垂直       | 15       | 500            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 水平       | 8        | 300            | 0.3                     |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 垂直       | 8        | 300            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 3                    | 水平/垂直 | 4        | 150            | 0.2                     |                 |                       |                       |                    |
| TA7C TA7R                | ボールねじ | 30       | 800             | 12                   | 水平       | 15       | 600            | 0.3                     | -               | -                     | -                     | -                  |
|                          |            |          |                 | 12                   | 垂直       | 15       | 580            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 水平       | 8        | 300            | 0.3                     |                 |                       |                       |                    |
|                          |            |          |                 | 6                    | 垂直       | 8        | 300            | 0.2                     |                 |                       |                       |                    |
|                          |            |          |                 | 3                    | 水平/垂直 | 4        | 150            | 0.2                     |                 |                       |                       |                    |

</contents>
