ファイル名: RSEL(MJ0392-4M)_page844

<overview>
このページは「RCS2シリーズ」の接続可能なアクチュエーターに関する技術仕様表で構成されています。  
主に表形式で、アクチュエーターのシリーズ名、タイプ、モーター出力、エンコーダーパルス数、リード長さ、取付方向、最高速度、最大加減速度、最小押付力、最大押付力、定格押付け速度などの性能パラメータが詳細に記載されています。  
テキスト部分は見出しと注釈が少量あるのみで、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 13.2 接続可能なアクチュエーター
RCS2シリーズの各種アクチュエーターの仕様を示しています。

### 表
#### RCS2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力[W] | エンコーダーパルス数 | リード[mm] | 取付方向 | 最高速度[mm/s] | 最大加減速度[G] | 最小押付力[N] | 最大押付力[N] | 定格押付け速度[mm/s] |
|--------------------------|--------|-----------------|----------------------|------------|----------|----------------|-----------------|---------------|---------------|---------------------|
| RCS2 (ロッドタイプ)      | RN5N RP5N GS5N GD5N | 60 | インクリメンタル1600 | 10 | 水平 | 380(at 75st) 280(at 50st) | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 330(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 5  | 水平 | 250 | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 250(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 2.5| 水平/垂直 | 125 | 0.2 | - | - | - |
|                          | SD5N   | 60              | 1600                 | 10 | 水平 | 380(at 75st) 280(at 50st) | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 330(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 5  | 水平 | 250 | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 250(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 2.5| 水平/垂直 | 125 | 0.2 | - | - | - |
|                          | RA7AD RGS7AD RGD7AD | 60/100 | 3072 | 12 | 水平/垂直 | 600(at 50～250st) 505(at 300st) | 0.15～0.2 | - | - | - |
|                          |        |                 |                      | 6  | 水平/垂直 | 300(at 50～250st) 250(at 300st) | 0.1 | - | - | - |
|                          |        |                 |                      | 3  | 水平/垂直 | 150(at 50～250st) 125(at 300st) | 0.05 | - | - | - |
|                          | SRA7BD SRGS7BD SRGD7BD | 60/100/150 | 3072 | 16 | 水平/垂直 | 800 | 0.35～0.4 | - | - | - |
|                          |        |                 |                      | 8  | 水平/垂直 | 400 | 0.25～0.3 | - | - | - |
|                          |        |                 |                      | 4  | 水平/垂直 | 200 | 0.15～0.2 | - | - | - |
|                          | RA13R  | 750             | 16384                 | 2.5| 水平/垂直 | 85(at 50st) 120(at 100st) 125(at 150～200st) | 0.02 | 1000 | 9800 | 10 |
|                          |        |                 |                      | 1.25| 水平/垂直 | 62 | 0.01 | 2000 | 19600 | 10 |
| [クリーン仕様][防塵防滴仕様] RCS2CR/RCS2W (ロッドタイプ) | RN5NB RP5NB GS5NB GD5NB SD5NB | 60 | インクリメンタル1600 | 10 | 水平 | 380(at 75st) 280(at 50st) | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 330(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 5  | 水平 | 250 | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 250(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 2.5| 水平/垂直 | 125 | 0.2 | - | - | - |
| RCS2 (テーブルタイプ)    | TCA5N TWA5N TFA5N | 60 | インクリメンタル1600 | 10 | 水平 | 380(at 75st) 280(at 50st) | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 330(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 5  | 水平 | 250 | 0.3 | - | - | - |
|                          |        |                 |                      |    | 垂直 | 250(at 75st) 230(at 50st) | 0.2 | - | - | - |
|                          |        |                 |                      | 2.5| 水平/垂直 | 125 | 0.2 | - | - | - |

</contents>
