ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page120

<overview>
このページは「PROFINET IO」に関する設定説明で構成されています。テキスト部分では、フィールドバス入出力フォーマット（パラメーターNo.90）とFBハーフ直値モード速度単位（パラメーターNo.159）についての説明があります。表部分では、それぞれのパラメーターの設定値と内容（または速度単位）が示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### フィールドバス入出力フォーマット（パラメーターNo.90）
設定を変更することで、PLCの入出力データレジスターとの交信域で、2ワード内のデータをバイト単位で入替えて送受信することが可能です。

#### FBハーフ直値モード速度単位（パラメーターNo.159）
ハーフ直値モード、ハーフ直値2モード、ハーフ直値3モードで制御する場合の速度単位を選択します。

### 表
#### フィールドバス入出力フォーマット（パラメーターNo.90）

| 設定値 | 内容                                                                                     |
| :----- | :--------------------------------------------------------------------------------------- |
| 0      | 入替えは行いません。PLCにはそのまま送信されます。                                        |
| 1      | 上位ワードの上位バイトと下位バイトを入替え、また下位ワードの上位バイトと下位バイトを入替えます。 |
| 2      | ワードレジスターの場合、上位ワードと下位ワードを入替えます。                            |
| 3      | 上位ワードの上位バイトと下位バイトを入替え、また下位ワードの上位バイトと下位バイトを入替えます。ダブルワードの場合、さらに上位ワードと下位ワードを入替えます。 |

#### FBハーフ直値モード速度単位（パラメーターNo.159）

| 設定値 | 速度単位  |
| :----- | :-------- |
| 0      | 1.0mm/s   |
| 1      | 0.1mm/s   |
</contents>
