ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page130

<overview>
本ページは、CC-Linkシステム領域における信号割付についての説明で構成されています。テキスト部分では注意事項と信号割付の概要が記載されており、表部分ではPLC側の信号割付の詳細が示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 注意事項
- CC-Linkシステム領域の信号割付についての説明。
- システム領域で使用している信号はリモート局Readyのみ。
- nは各軸の先頭アドレスを示す。
- 局占有数に応じてmの値が変わる（1局占有時m=1、2局占有時m=3、4局占有時m=7）。

### 表
#### PLC側信号割付一覧

| PLC側       | 信号割付       | PLC側       | 信号割付                                                                 |
|-------------|----------------|-------------|--------------------------------------------------------------------------|
| RY (n+m) 0  |                | RX (n+m) 0  |                                                                          |
| RY (n+m) 1  |                | RX (n+m) 1  |                                                                          |
| RY (n+m) 2  |                | RX (n+m) 2  |                                                                          |
| RY (n+m) 3  |                | RX (n+m) 3  |                                                                          |
| RY (n+m) 4  |                | RX (n+m) 4  |                                                                          |
| RY (n+m) 5  |                | RX (n+m) 5  | 使用できません                                                           |
| RY (n+m) 6  |                | RX (n+m) 6  |                                                                          |
| RY (n+m) 7  |                | RX (n+m) 7  |                                                                          |
| RY (n+m) 8  | 使用できません | RX (n+m) 8  |                                                                          |
| RY (n+m) 9  |                | RX (n+m) 9  |                                                                          |
| RY (n+m) A  |                | RX (n+m) A  |                                                                          |
| RY (n+m) B  |                | RX (n+m) B  | **リモート局 Ready**<br>コントローラーが起動完了するとONになり、PLC（マスター）に知らせる。 |
| RY (n+m) C  |                | RX (n+m) C  |                                                                          |
| RY (n+m) D  |                | RX (n+m) D  | 使用できません                                                           |
| RY (n+m) E  |                | RX (n+m) E  |                                                                          |
| RY (n+m) F  |                | RX (n+m) F  |                                                                          |

</contents>
