ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page140

<overview>
本ページは、ポジショナー仕様の動作モードとPLCの入出力エリアに関する説明で構成されています。主にテキスト説明と表があり、PLC出力からSCON2の入力に対応する各モードのデータレジスターの割り当てを示した表が中心です。グラフや図はなく、表形式で各モードの占有バイト数やデータ内容が詳細に記載されています。
</overview>

<contents>
### テキスト
#### ポジショナー仕様の動作モードとPLC入出力エリア
- PLC出力はSCON2の入力に対応している。
- PLCアドレスの“n”は各軸の先頭アドレスを示す。
- 「占有領域」は本モードで占有される領域であり、他の目的には使用不可。
- アドレスの重複使用に注意が必要。

### 表
#### SCON2のDIおよび入力データレジスター（EtherCAT）

| PLC出力エリア（バイト） | ポジション/簡易直値2モード<br>占有バイト数：8 | ハーフ直値2モード<br>占有バイト数：16 | リモートI/O3モード<br>占有バイト数：12 | ハーフ直値3モード<br>占有バイト数：16 | フル直値2モード<br>占有バイト数：32 |
|-------------------------|-----------------------------|---------------------------|-------------------------|---------------------------|-------------------------|
| n+0、n+1                | 目標位置                    | 目標位置                  | ポート番号0～15         | 目標位置                  | 目標位置                |
| n+2、n+3                |                             |                           |                         |                           |                         |
| n+4、n+5                | 指定ポジションNo.           | 位置決め幅                |                         | 位置決め幅                | 位置決め幅              |
| n+6、n+7                | 制御信号                    | 占有領域                  |                         |                           |                         |
| n+8、n+9                |                             | 速度                      |                         | 速度                      | 速度                    |
| n+10、n+11              |                             | 加減速度                  |                         | 加減速度                  |                         |
| n+12、n+13              |                             | 押付け電流制限値          |                         | 押付け電流制限値          | ゾーン境界値＋           |
| n+14、n+15              |                             | 制御信号                  |                         | 制御信号                  |                         |
| n+16、n+17              |                             |                           |                         |                           | ゾーン境界値－           |
| n+18、n+19              |                             |                           |                         |                           | 加速度                  |
| n+20、n+21              |                             |                           |                         |                           | 減速度                  |
| n+22、n+23              |                             |                           |                         |                           | 押付け電流制限値        |
| n+24、n+25              |                             |                           |                         |                           | 負荷電流閾値            |
| n+26、n+27              |                             |                           |                         |                           | 制御信号1               |
| n+28、n+29              |                             |                           |                         |                           | 制御信号2               |
| n+30、n+31              |                             |                           |                         |                           |                         |

**注記:**  
「占有領域」は本モードで占有される領域であり、他の目的には使用できません。またアドレスの重複使用に注意してください。
</contents>
