ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page146

<overview>
本ページは、ポジショナー仕様の動作モードとPLCの入出力エリアに関する説明で構成されています。主にテキスト説明と表があり、表はPLC入力エリアのバイトごとに各動作モードに対応したSCON2側のDOおよび出力データレジスターの内容を示しています。グラフや図はなく、テキストと表の構成です。
</overview>

<contents>
### テキスト
#### ポジショナー仕様の動作モードとPLC入出力エリア
- SCON2の出力はPLC入力側に接続される。
- PLCアドレスの“n”は各軸の先頭アドレスを示す。

### 表
#### PLC入力エリアとSCON2側DOおよび出力データレジスター対応表（EtherNet/IP）

| PLC入力エリア（バイト） | ポジション/簡易直値2モード<br>占有バイト数：8 | ハーフ直値2モード<br>占有バイト数：16 | リモートI/O3モード<br>占有バイト数：12 | ハーフ直値3モード<br>占有バイト数：16 | フル直値2モード<br>占有バイト数：32 |
|-------------------------|----------------------------|-------------------------|-------------------------|-------------------------|-------------------------|
| n+0、n+1                | 現在位置                   | 現在位置                | ポート番号0～15<br>占有領域 | 現在位置                | 現在位置                |
| n+2、n+3                |                            |                         |                         |                         |                         |
| n+4、n+5                | 完了ポジションNo.<br>（簡易アラームID） | 現在荷重                | 現在位置                | 指令電流                | 指令電流                |
| n+6、n+7                | 状態信号                   |                         |                         |                         |                         |
| n+8、n+9                |                            | 現在速度                | 現在荷重                | 現在速度                | 現在速度                |
| n+10、n+11              |                            |                         |                         |                         |                         |
| n+12、n+13              |                            | アラームコード          |                         | アラームコード          | アラームコード          |
| n+14、n+15              |                            | 状態信号                |                         | 状態信号                | 過負荷レベルモニター    |
| n+16、n+17              |                            |                         |                         |                         | 現在指令値              |
| n+18、n+19              |                            |                         |                         |                         | 推定回生放電電力量      |
| n+20、n+21              |                            |                         |                         |                         | 通算走行距離            |
| n+22、n+23              |                            |                         |                         |                         | 状態信号1               |
| n+24、n+25              |                            |                         |                         |                         | 状態信号2               |
| n+26、n+27              |                            |                         |                         |                         |                         |
| n+28、n+29              |                            |                         |                         |                         |                         |
| n+30、n+31              |                            |                         |                         |                         |                         |

※「占有領域」は本モードで占有される領域であり、他の目的には使用不可。アドレスの重複使用に注意。

</contents>
