ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page149

<overview>
このページは、ポジショナー仕様の動作モードとPLCの入出力エリアに関する説明で構成されています。主にテキストと表で構成されており、テキスト部分ではPLCアドレスの説明と注意事項が記載されています。表部分は、SCON2側のDOおよび出力データレジスター（MECHATROLINK-Ⅲ）における各動作モード別のPLC出力エリア（RSP_DATA）の割り当てを示しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### ポジショナー仕様の動作モードとPLC入出力エリア
- SCON2の出力はPLC入力側に割り当てられる。
- PLCアドレスの“n”は各軸の先頭アドレスを示す。
- 表中の「占有領域」は、本モードで占有される領域であり、他の目的には使用不可。
- アドレスの重複使用に注意が必要。

### 表
#### SCON2側DOおよび出力データレジスター（MECHATROLINK-Ⅲ）におけるPLC出力エリア（RSP_DATA）

| PLC出力エリア (RSP_DATA) | リモートI/Oモード 16、32、48バイトモード | ポジション/簡易直値モード 16、32、48バイトモード | ハーフ直値モード 32、48バイトモード | フル直値モード 48バイトモード | リモートI/O2モード 16、32、48バイトモード |
|--------------------------|------------------------------------------|-----------------------------------------------|----------------------------------|-----------------------------|------------------------------------------|
| n+4、n+5                 | ポート番号0～15                          | 現在位置                                    | 現在位置                       | 現在位置                    | ポート番号0～15                          |
| n+6、n+7                 |                                          | 完了ポジションNo.（簡易アラームID）          | 指令電流                       | 指令電流                    | 占有領域                                |
| n+8、n+9                 |                                          | 状態信号                                    | 指令電流                       | 指令電流                    | 現在位置                                |
| n+10、n+11               |                                          |                                            | 現在速度                       | 現在速度                    | 指令電流                                |
| n+12、n+13               |                                          |                                            | アラームコード                 | アラームコード              |                                          |
| n+14、n+15               |                                          |                                            | 状態信号                     | 過負荷レベルモニター        |                                          |
| n+16、n+17               |                                          |                                            |                              | 現在荷重                    |                                          |
| n+18、n+19               |                                          |                                            |                              | 通算移動回数                |                                          |
| n+20、n+21               |                                          |                                            |                              | 通算走行距離                |                                          |
| n+22、n+23               |                                          |                                            |                              | 状態信号1                   |                                          |
| n+24、n+25               |                                          |                                            |                              | 状態信号2                   |                                          |
| n+26、n+27               |                                          |                                            |                              |                             |                                          |
| n+28、n+29               |                                          |                                            |                              |                             |                                          |
| n+30、n+31               |                                          |                                            |                              |                             |                                          |
| n+32、n+33               |                                          |                                            |                              |                             |                                          |
| n+34、n+35               |                                          |                                            |                              |                             |                                          |

※「占有領域」は本モードで占有される領域であり、他の目的には使用できない。またアドレスの重複使用に注意すること。

</contents>
