ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page156

<overview>
このページは「3.2 ポジショナー仕様の動作モード」に関する内容で構成されています。  
主に表形式で、PIOパターンごとの主要機能一覧を示しています。  
テキストは表の注釈として機能の補足説明が記載されています。  
グラフや図はなく、表が中心の構成です。
</overview>

<contents>
### テキスト
#### PIOパターンごとの主要機能一覧
- ○：有効機能  
- △：条件付き  
- ×：非対応  

注釈  
1. 一時停止信号はありません。一時停止の方法は「3.5.2【12】」参照  
2. 引張り動作はできません。  
3. ゾーン範囲はパラメーターNo.1、2またはNo.23、24に設定します。原点復帰完了後常時有効になります。  
4. ポジション移動時に、現在位置が指令したポジションNo.に設定された範囲内にあるときONする信号です。

### 表
#### PIOパターンごとの主要機能一覧

| PIOパターン (パラメーターNo.25) | 0 位置決めモード | 1 教示モード | 2 256点モード | 3 384点モード | 4 電磁弁モード1 | 5 電磁弁モード2 | 6 カセンサー使用押付けモード1 | 7 カセンサー使用押付けモード2 |
|---------------------------------|-----------------|-------------|--------------|--------------|----------------|----------------|----------------------------|----------------------------|
| 位置決め点数                    | 64              | 64          | 256          | 384          | 7              | 3              | 32                         | 5                          |
| ポジションNo.入力運転           | ○               | ○           | ○           | ○           | ×              | ×              | ○                         | ×                          |
| ポジションNo.直接指定運転       | ×               | ×           | ×           | ×           | ○              | ○              | ×                         | ○                          |
| 位置決め                        | ○               | ○           | ○           | ○           | ○              | ○              | ○                         | ○                          |
| 移動中速度変更                  | ○               | ○           | ○           | ○           | ×              | ×              | ○                         | ×                          |
| 押付け（引張り）               | ○               | ○           | ○           | ○           | ○              | ×              | △ 注2                    | △ 注2                    |
| カセンサー使用押付け           | ×               | ×           | ×           | ×           | ×              | ×              | ○                         | ○                          |
| ピッチ送り（相対移動送り）     | ○               | ○           | ○           | ○           | ○              | ○              | ×                         | ○                          |
| 原点復帰信号入力               | ○               | ○           | ○           | ○           | ○              | ○              | ×                         | ○                          |
| 一時停止                      | ○               | ○           | ○           | ○           | ○              | △ 注1          | ○                         | ○                          |
| ジョグ移動信号                | ×               | ○           | ×           | ×           | ×              | ×              | ×                         | ×                          |
| 教示入力（現在位置書込み）     | ×               | ○           | ×           | ×           | ×              | ×              | ×                         | ×                          |
| ブレーキ解除信号入力           | ○               | ×           | ○           | ○           | ○              | ○              | ○                         | ○                          |
| 移動中信号出力                | ○               | ○           | ×           | ×           | ×              | ×              | ×                         | ×                          |
| ゾーン信号出力 注3            | ○               | ○           | ○           | ×           | ○              | ○              | ○                         | ○                          |
| ポジションゾーン信号出力 注4  | ○               | ○           | ○           | ×           | ○              | ○              | ○                         | ○                          |
| 位置検出フィードバックパルス出力 | ○               | ○           | ○           | ○           | ○              | ○              | ○                         | ○                          |
| 制振制御                      | ○               | ○           | ○           | ○           | ○              | ○              | ○                         | ○                          |
</contents>
