ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page166

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」内の「入出力信号割付け」に関する内容で構成されています。  
ページ全体は主に表形式で構成されており、信号種類ごとのビット割付け、記号、内容、詳細参照先が示されています。  
テキスト部分は表の説明や注釈が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 入出力信号割付けについて
- 表中のONは該当ビットが“1”、OFFは“0”を表す。
- 目標位置は32ビット符号付整数で絶対座標上の位置を指定。単位は0.01mm（DDモーター以外）、0.001°（DDモーター）。
- 指定可能範囲は-9999999～9999999。
- ソフトリミットの内側（0.2mm）を超える値は制限される。
- 16進数入力時は負数を2の補数で入力。

### 表
#### 入出力信号割付け一覧

| 信号種類       | ビット       | 記号       | 内容                                                                                                                                                                                                                      | 詳細     |
|:--------------|:------------|:----------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------|
| 目標位置       | 32ビットデータ | ―          | 32ビット符号付整数。目標位置を絶対座標上で指定。単位：0.01mm（DDモーター以外）、0.001°（DDモーター）。指定範囲：-9999999～9999999。ソフトリミット内側（0.2mm）を超える値は制限。16進数は2の補数で入力。 | 4.2.1    |
| 指定ポジションNo. | 16ビットデータ | PC1～PC383 | 16ビット整数。ティーチングツールでポジションデータに運転条件を設定する必要あり。本レジスターにポジションNo.を指定。指定範囲：0～383。範囲外や未設定はスタート信号ON時にアラーム。                         | 4.2.1    |
| 制御信号       | b15          | BKRL       | ブレーキ強制解除。ONでブレーキ解除。                                                                                                                                                                                     | 3.5.2 [19] |
|               | b14          | RMOD       | 運転モード。OFFでAUTOモード、ONでMANUモード。                                                                                                                                                                           | 3.5.2 [20] |
|               | b13          | ―          | 使用不可。                                                                                                                                                                                                              | ―        |
|               | b12          | ―          | 使用不可。                                                                                                                                                                                                              | ―        |
|               | b11          | PMOD       | ポジション/簡易直値切替。OFFでポジションモード、ONで簡易直値モード。                                                                                                                                                     | 3.5.2 [21] |
|               | b10          | MODE       | 教示モード指令。OFFで通常モード、ONで教示モード。                                                                                                                                                                       | 3.5.2 [17] |
|               | b9           | PWRT       | ポジションデータ取込み指令。ONでポジションデータ取込み。                                                                                                                                                               | 3.5.2 [18] |
|               | b8           | JOG+       | ＋ジョグ。ONで反原点方向にジョグ移動。                                                                                                                                                                                  | 3.5.2 [14] |
|               | b7           | JOG-       | －ジョグ。ONで原点方向にジョグ移動。                                                                                                                                                                                    | 3.5.2 [14] |
|               | b6           | JVEL       | ジョグ速度/インチング距離切替。使用するパラメーターを切替。OFFはパラメーターNo.26“ジョグ速度”、No.48“インチング距離”。ONはNo.47“ジョグ速度2”、No.49“インチング距離2”。                                   | 3.5.2 [15] |
|               | b5           | JISL       | ジョグ/インチング切替。OFFでジョグ動作、ONでインチング動作。                                                                                                                                                           | 3.5.2 [16] |
|               | b4           | SON        | サーボON指令。ONでサーボON。                                                                                                                                                                                            | 3.5.2 [5]  |
|               | b3           | RES        | リセット。ONでリセット実行。                                                                                                                                                                                            | 3.5.2 [4]  |
|               | b2           | STP        | 一時停止。ONで一時停止指令。                                                                                                                                                                                            | 3.5.2 [12] |
|               | b1           | HOME       | 原点復帰。ONで原点復帰指令。                                                                                                                                                                                            | 3.5.2 [6]  |
|               | b0           | CSTR       | 位置決めスタート。ONで移動指令。                                                                                                                                                                                        | 3.5.2 [7]  |
</contents>
