ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page175

<overview>
このページは「ポジショナー仕様の動作モード」に関する説明で構成されています。主に表形式で、PLC入力信号の信号種類ごとにビット、記号、内容、詳細の情報が整理されています。テキスト部分は表の注釈や説明文が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
- 表中のONは該当ビットが“1”、OFFは“0”を表す。
- 現在位置は32ビット符号付き整数で格納され、単位は0.01mm（DDモーター以外）または0.001°（DDモーター）。
- 指令電流は32ビット整数でmA単位。
- 現在速度は32ビット符号付き整数で0.01mm/s単位。正数は原点方向へ移動中、負数は原点方向へ移動中。
- アラームコードは16ビット整数で、アラーム発生時にコードを格納。発生していない場合は“0H”を格納。
- アラームの詳細は別資料（SCON2取扱説明書）を参照。

### 表

| 信号種類     | ビット           | 記号   | 内容                                                                                         | 詳細     |
|--------------|------------------|--------|----------------------------------------------------------------------------------------------|----------|
| 現在位置     | 32ビットデータ   | ―      | 現在位置32ビット符号付き整数。単位0.01mm（DDモーター以外）、0.001°（DDモーター）。例：000003FFH=1023(10進数)=10.23mm | 4.2.2    |
| 指令電流     | 32ビットデータ   | ―      | 現在指令している電流値をmA単位で格納。例：000003FFH=1023=1023mA                              | 4.2.2    |
| 現在速度     | 32ビットデータ   | ―      | 現在速度を0.01mm/s単位で格納。正数は原点方向へ移動中、負数は原点方向へ移動中。例：000003FFH=1023=10.23mm/s | 4.2.2    |
| アラームコード | 16ビットデータ   | ―      | アラーム発生時にコードを格納。発生なしは“0H”。詳細は別資料参照。                             | 4.2.2    |

| 状態信号     | ビット           | 記号   | 内容                                                                                         | 詳細     |
|--------------|------------------|--------|----------------------------------------------------------------------------------------------|----------|
| b15          | EMGS             | 非常停止 | ONで非常停止状態                                                                             | 3.5.2 [2]|
| b14          | PWR              | コントローラー準備完了 | 準備完了でON                                                                               | 3.5.2 [1]|
| b13          | ZONE2            | ゾーン2 | 現在位置がゾーン設定内にあるときON                                                         | 3.5.2 [13]|
| b12          | ZONE1            | ゾーン1 | 現在位置がゾーン設定内にあるときON                                                         | 3.5.2 [13]|
| b11          | ―                | 使用不可 |                                                                                              | ―        |
| b10          | MEND             | 指令完了信号 | 上位から指令された目標位置に移動完了でON                                                   | 3.5.2 [11]|
| b9           | ―                | 使用不可 |                                                                                              | ―        |
| b8           | RMDS             | 運転モード状態 | 現在の状態がAUTOモードでOFF、MANUモードでON                                               | 3.5.2 [20]|
| b7           | BAML/ALML        | 軽故障アラーム | バッテリー電圧低下発生、軽故障アラーム発生でON。詳細は別資料参照。                         | 3.5.2 [29]|
| b6           | ―                | 使用不可 |                                                                                              | ―        |
| b5           | PSFL             | 押付け空振り | 押付け動作空振りでON                                                                       | 3.5.2 [24]|
| b4           | SV               | 運転準備完了 | サーボONでON                                                                               | 3.5.2 [5] |
| b3           | ALM              | アラーム | アラーム発生でON                                                                           | 3.5.2 [2] |
| b2           | MOVE             | 移動中信号 | アクチュエーター移動中でON                                                                 | 3.5.2 [9] |
| b1           | HEND             | 原点復帰完了 | 原点復帰完了でON                                                                           | 3.5.2 [6] |
| b0           | PEND             | 位置決め完了信号 | 位置決め完了でON                                                                           | 3.5.2 [10]|
</contents>
