ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page188

<overview>
このページは「3.2 ポジショナー仕様の動作モード」に関する内容で構成されています。  
主に表形式で情報が整理されており、PLC入力信号の種類ごとにビット数、記号、内容、詳細の説明が記載されています。  
テキスト部分は表の注釈や説明文が含まれています。  
グラフや図はなく、表がメインの構成です。
</overview>

<contents>
### テキスト
- 表中のONは該当ビットが「1」、OFFは「0」を表す。

### 表
#### ポジショナー仕様の動作モード（PLC入力信号）

| 信号種類           | ビット           | 記号 | 内容                                                                                                                                                                                                                      | 詳細   |
|--------------------|------------------|------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------|
| 現在位置           | 32ビットデータ   | ―    | 現在位置32ビット符号付き整数。現在位置を格納。単位：0.01mm（DDモーター以外）、0.001°（DDモーター）。読み取り例：000003FF₁₆ = 1023（10進数）= 10.23mm（単位が0.01の場合）。16進数で読み取る場合、負数は2の補数表示。 | 4.2.3  |
| 指令電流           | 32ビットデータ   | ―    | 32ビット整数。現在指令している電流値を格納。単位：mA。読み取り例：000003FF₁₆ = 1023（10進数）= 1023mA。                                                                                                               | 4.2.3  |
| 現在速度           | 32ビットデータ   | ―    | 32ビット符号付き整数。現在速度を格納。単位は0.01mm/s。正数：反原点方向へ移動中、負数：原点方向へ移動中。読み取り例：000003FF₁₆ = 1023（10進数）= 10.23mm/s。16進数で読み取る場合、負数は2の補数表示。          | 4.2.3  |
| アラームコード     | 16ビットデータ   | ―    | 16ビット整数。アラーム（メッセージレベルを含むすべてのアラーム）が発生した場合にアラームコードを格納。アラームが発生していない場合およびバッテリー電圧低下警告時は"0₁₆"を格納。詳細は「SCON2取扱説明書」8章参照。 | 4.2.3  |
| 過負荷警告モニター | 16ビットデータ   | ―    | 16ビット整数。モーターの負荷率（%）を表示。                                                                                                                                                                             | 4.2.3  |
| 現在荷重           | 32ビットデータ   | ―    | 32ビット符号付き整数。単位は0.01N。16進数で読み取る場合、負数は2の補数表示。                                                                                                                                           | 4.2.3  |
| 通算移動回数       | 32ビットデータ   | ―    | 32ビット整数。単位は回数。                                                                                                                                                                                               | ―      |
| 通算走行距離       | 32ビットデータ   | ―    | 32ビット整数。単位はm。                                                                                                                                                                                                  | ―      |
</contents>
