ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page190

<overview>
本ページは「リモートI/O 2モード」に関する説明で構成されています。テキスト部分ではモードの概要と使用条件について述べられており、表部分ではパラメーターNo.25の設定値ごとの動作モードとI/O仕様の詳細が示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 3.2.5 リモートI/O 2モード
PIO（24V入出力）を使用した場合と同様に、ポジションNo.を指定して運転するモードです。あらかじめティーチングツールからポジションデータを設定する必要があります。  
運転可能なポジション数はパラメーターNo.25「PIOパターン」の設定によります。  
本モードはリモートI/Oモード（3.2.1節参照）の内容に「現在位置の読取り」と「指令電流値の読取り」の機能を追加したものです。  
詳細は「SCON2取扱説明書（MJ0458）」を参照してください。

### 表
#### パラメーターNo.25設定値ごとの動作モードとI/O仕様

| パラメーターNo.25設定値 | 動作モード               | I/O仕様                                                                                   |
| :----------------------- | :----------------------- | :---------------------------------------------------------------------------------------- |
| 0                        | 位置決めモード           | 位置決め点数64点、ゾーン出力2点                                                           |
| 1                        | 教示モード               | 位置決め点数64点、ゾーン出力1点<br>位置決めおよびジョグ運転が可能<br>現在位置を指定ポジションに書込み可能 |
| 2                        | 256点モード              | 位置決め点数256点、ゾーン出力1点                                                          |
| 3                        | 384点モード              | 位置決め点数384点、ゾーン出力無し                                                         |
| 4                        | 電磁弁モード1            | 位置決め点数7点、ゾーン出力2点<br>ポジションNo.ごとの直接運転指令が可能<br>位置決め完了信号はポジションNo.ごとに出力 |
| 5                        | 電磁弁モード2            | 位置決め点数3点、ゾーン出力2点<br>前進/後退/中間位置指令により運転<br>位置決め完了信号は前進端/後退端/中間位置の個別出力 |
| 6                        | 力制御モード1（専用ロードセル使用） | 位置決め点数32点、ゾーン出力1点                                                           |
| 7                        | 力制御モード2（専用ロードセル使用） | 位置決め点数5点、ゾーン出力1点<br>ポジションNo.ごとの直接運転指令が可能<br>位置決め完了信号はポジションNo.ごとに出力 |

</contents>
