ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page200

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」セクションの一部であり、主に入出力信号の割付けについて説明しています。ページ構成は以下の通りです。
- テキスト部分：入出力信号割付けの説明と注意書き
- 表部分：信号種類ごとのビット割付け、記号、内容、詳細をまとめた表
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 入出力信号割付け
- 表中のONは該当ビットが“1”、OFFは“0”を表す。

### 表
#### 入出力信号割付け一覧

| 信号種類       | ビット       | 記号       | 内容                                                                                                                                                                                                                     | 詳細      |
|--------------|------------|----------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|
| 目標位置       | 32ビットデータ | ―        | 32ビット符号付整数。目標位置を絶対座標上の位置で指定。単位は0.01mm（DDモーター以外）、0.001°（DDモーター）。指定可能範囲は-9999999～9999999。入力例：単位が0.01mmで+25.40mmなら2540と指定。パラメーターのソフトリミット内側(0.2mm)を超えた値は制限される。16進数入力時は負数は2の補数で入力。 | 4.2.1   |
| 指定ポジションNo. | 16ビットデータ | PC1～PC256 | 16ビット整数。運転にはティーチングツールで運転条件設定が必要。レジスターにデータ入力したポジションNo.を指定。指定範囲0～383。範囲外や未設定はスタート信号ON時にアラーム。                                                                 | 4.2.1   |
| PLC出力       | b15         | BKRL     | 【ブレーキ強制解除】ONでブレーキ解除                                                                                                                                                                                    | 3.5.2(19) |
|              | b14         | RMOD     | 【運転モード】OFFでAUTOモード、ONでMANUモード                                                                                                                                                                         | 3.5.2(20) |
|              | b13         | ―        | 使用不可                                                                                                                                                                                                               | ―       |
|              | b12         | ―        | 使用不可                                                                                                                                                                                                               | ―       |
|              | b11         | PMOD     | 【ポジション/簡易直値切替】OFF：ポジションモード、ON：簡易直値モード                                                                                                                                                   | 3.5.2(21) |
|              | b10         | ―        | 使用不可                                                                                                                                                                                                               | ―       |
|              | b9          | CLBR     | 【ロードセルキャリブレーション指令】ONでキャリブレーション実行                                                                                                                                                         | 3.5.2(33) |
|              | b8          | JOG+     | 【＋ジョグ】ONで反原点方向にジョグ移動                                                                                                                                                                                | 3.5.2(14) |
|              | b7          | JOG-     | 【－ジョグ】ONで原点方向にジョグ移動                                                                                                                                                                                  | 3.5.2(14) |
|              | b6          | JVEL     | 【ジョグ速度/インチング距離切替】使用する設定値（パラメーター）を切替。OFF：パラメーターNo.26“ジョグ速度”、No.48“インチング距離”、ON：No.47“ジョグ速度2”、No.49“インチング距離2”                                         | 3.5.2(15) |
|              | b5          | JISL     | 【ジョグ/インチング切替】OFFでジョグ動作、ONでインチング動作                                                                                                                                                         | 3.5.2(16) |
|              | b4          | SON      | 【サーボON指令】ONでサーボON                                                                                                                                                                                          | 3.5.2(5)  |
|              | b3          | RES      | 【リセット】ONでリセット実行                                                                                                                                                                                          | 3.5.2(4)  |
|              | b2          | STP      | 【一時停止】ONで一時停止指令                                                                                                                                                                                          | 3.5.2(12) |
|              | b1          | HOME     | 【原点復帰】ONで原点復帰指令                                                                                                                                                                                          | 3.5.2(6)  |
|              | b0          | CSTR     | 【位置決めスタート】ONで移動指令                                                                                                                                                                                      | 3.5.2(7)  |
</contents>
