ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page203

<overview>
このページは「3.2 ポジショナー仕様の動作モード」に関する内容で、主にPLCアドレス構成について説明しています。ページ構成は以下の通りです。
- テキスト部分：PLCアドレス構成の説明、注釈
- 表部分：SCON2側入レジスターとSCON2側出レジスターのアドレス対応表が2つ掲載されている
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 3.2 ポジショナー仕様の動作モード
（1）PLCアドレス構成について説明しています。

注釈：
- CC-Linkの場合、占有領域は“システム領域”となり、リモートデバイス局のシステム領域であるため、他の目的には使用できません。
- 占有領域は他の目的に使用できず、アドレスの重複使用に注意が必要です。

### 表
#### SCON2側入レジスターのPLCアドレス構成

| 項目           | CC、CIE            | DV    | EC、EP、PRT       | ML3           |
| :------------- | :----------------- | :---- | :---------------- | :------------ |
| 占有領域       | RY n0～nF          | －    | －                | －            |
| 占有領域注1    | ～RY(n+2)～(n+2)F  | －    | －                | －            |
| 目標位置       | RWw (n+0)          | n+0   | n+0、n+1          | n+4、n+5      |
| 位置決め幅     | RWw (n+1)          | n+1   | n+2、n+3          | n+6、n+7      |
| 速度           | RWw (n+2)          | n+2   | n+4、n+5          | n+8、n+9      |
| 加減速度       | RWw (n+3)          | n+3   | n+6、n+7          | n+10、n+11    |
| 押付け電流制限値 | RWw (n+4)          | n+4   | n+8、n+9          | n+12、n+13    |
| 制御信号       | RWw (n+5)          | n+5   | n+10、n+11        | n+14、n+15    |
|                | RWw (n+6)          | n+6   | n+12、n+13        | n+16、n+17    |
|                | RWw (n+7)          | n+7   | n+14、n+15        | n+18、n+19    |

#### SCON2側出レジスターのPLCアドレス構成

| 項目           | CC、CIE            | DV    | EC、EP、PRT       | ML3           |
| :------------- | :----------------- | :---- | :---------------- | :------------ |
| 占有領域       | RX n0～nF          | －    | －                | －            |
| 占有領域注1    | RX(n+1)0～(n+1)F  | －    | －                | －            |
| 現在位置       | RWr (n+0)          | n+0   | n+0、n+1          | n+4、n+5      |
| 現在荷重       | RWr (n+1)          | n+1   | n+2、n+3          | n+6、n+7      |
| 現在速度       | RWr (n+2)          | n+2   | n+4、n+5          | n+8、n+9      |
| アラームコード | RWr (n+3)          | n+3   | n+6、n+7          | n+10、n+11    |
| 状態信号       | RWr (n+4)          | n+4   | n+8、n+9          | n+12、n+13    |
|                | RWr (n+5)          | n+5   | n+10、n+11        | n+14、n+15    |
|                | RWr (n+6)          | n+6   | n+12、n+13        | n+16、n+17    |
|                | RWr (n+7)          | n+7   | n+14、n+15        | n+18、n+19    |
</contents>
