ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page224

<overview>
このページは「3.2 ポジショナー仕様の動作モード」セクションの一部で、「3.2.10 フル直値2モード」について説明しています。構成は以下の通りです。
- テキスト部分：フル直値2モードの概要説明と運転方式の説明
- 表部分：本モードで制御可能なアクチュエーターの主要機能一覧（直接制御の可否を示す）
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 3.2.10 フル直値2モード
PLCから位置制御に関するすべての値（目標位置、速度など）を直接数値で指定する運転方式です。入出力エリアに各値を設定してください。
本モードで制御可能なアクチュエーターの有効な主要機能は次の表のとおりです。

### 表
| アクチュエーターの機能       | ○：直接制御 | ×：無効 |
|----------------------------|-------------|---------|
| 原点復帰動作                 | ○           |         |
| 位置決め動作                 | ○           |         |
| 速度・加減速度設定           | ○           |         |
| ピッチ送り（インチング）     | ○           |         |
| 押付け動作                   | ○           |         |
| 移動中の速度変更             | ○           |         |
| 加速度・減速度の個別設定     | ○           |         |
| 一時停止                     | ○           |         |
| ゾーン信号出力               | ○           |         |
| PIOパターン選択             |             | ×       |
</contents>
