ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page241

<overview>
本ページは「3.3.2 CC-Link IE Fieldの入出力エリア（プレスプログラム仕様）」に関する説明で構成されています。  
テキスト部分では、コントローラーのビットレジスターとワードレジスターの占有についての概要説明があります。  
表部分では、PLCアドレスごとにSCON2のDIおよび入力データレジスターのリモートI/Oモード、フル機能モード、プレス直値モードにおける占有ワード数と各ワードの役割が詳細に示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 3.3.2 CC-Link IE Fieldの入出力エリア（プレスプログラム仕様）
本コントローラーは、ビットレジスター（RX/RY）32ビットとワードレジスター（RWr/RWw）4または16ワード（モードにより異なる）を占有します。  
マスター局の局情報には動作モードで定められた局数を局No.ごとに設定してください。  

●PLC出力 → SCON2の入力  
※PLCアドレスの“n”は各軸の先頭アドレスを示します。

### 表
#### PLCアドレスとSCON2のDIおよび入力データレジスター（CC-Link IE Field）

| PLCアドレス       | リモートI/Oモード<br>占有ワード数：4 | フル機能モード<br>占有ワード数：16 | プレス直値モード<br>占有ワード数：16 |
|-------------------|------------------------------|----------------------------|----------------------------|
| RY n0～nF         | ポート番号0～15              | 占有領域                   | 占有領域                   |
| RY(n+1)0～(n+1)F  | 占有領域                     |                            |                            |
| RWw (n+0)         | 占有領域                     | 目標位置                   | 目標位置                   |
| RWw (n+1)         | 占有領域                     | 位置決め幅                 | 速度                       |
| RWw (n+2)         |                              |                            | 加速度                     |
| RWw (n+3)         |                              |                            | 減速度                     |
| RWw (n+4)         |                              | 速度                       | 加圧荷重                   |
| RWw (n+5)         |                              |                            | 占有領域                   |
| RWw (n+6)         |                              |                            | ゾーン境界値＋             |
| RWw (n+7)         |                              | 占有領域                   | 加速度                     |
| RWw (n+8)         |                              |                            | ゾーン境界値－             |
| RWw (n+9)         |                              |                            | 減速度                     |
| RWw (n+A)         |                              | 加速度                     | 荷重ゾーン境界＋           |
| RWw (n+B)         |                              | 減速度                     | 荷重ゾーン境界－           |
| RWw (n+C)         |                              | 占有領域                   | 指令プログラムNo.          |
| RWw (n+D)         |                              | 指令プログラムNo.          | 制御信号1                  |
| RWw (n+E)         |                              | 制御信号1                  | 制御信号2                  |
| RWw (n+F)         |                              | 制御信号2                  |                            |

※「占有領域」は動作モードの設定により占有される領域であり、他の目的には使用できません。アドレスの重複使用に注意が必要です。
</contents>
