ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page249

<overview>
このページは「3.3.6 MECHATROLINK-Ⅲの入出力エリア（プレスプログラム仕様）」に関する内容で構成されています。  
テキスト部分ではPLC出力からSCON2の入力に関する説明があり、PLCアドレスの表記についての注意書きがあります。  
表部分では、PLC出力エリア（CMD_DATA）に対応するSCON2のDIおよび入力データレジスターの各モード別の割り当てが詳細に示されています。  
グラフや図はなく、表を中心とした技術的なデータ説明の構成です。
</overview>

<contents>
### テキスト
#### 3.3.6 MECHATROLINK-Ⅲの入出力エリア（プレスプログラム仕様）
- PLC出力 → SCON2の入力  
- PLCアドレスの“n”は各軸の先頭アドレスを示す。

※「占有領域」は動作モードの設定により占有される領域であり、他の目的には使用できない。アドレスの重複使用にも注意が必要。

### 表
#### PLC出力エリア（CMD_DATA）とSCON2のDIおよび入力データレジスター（MECHATROLINK-Ⅲ）

| PLC出力エリア (CMD_DATA) | SCON2のDIおよび入力データレジスター（MECHATROLINK-Ⅲ） | リモートI/Oモード 16,32,48バイトモード | フル機能モード 48バイトモード | プレス直値モード 48バイトモード |
|--------------------------|---------------------------------------------|-----------------------------|-------------------------|-------------------------|
| n+4、n+5                 | ポート番号0～15                             | ○                           | 目標位置                | 目標位置                |
| n+6、n+7                 |                                             |                             | 位置決め幅              | 速度                    |
| n+8、n+9                 |                                             |                             | 速度                    | 加速度                  |
| n+10、n+11               |                                             |                             |                         | 減速度                  |
| n+12、n+13               |                                             |                             |                         | 加圧荷重                |
| n+14、n+15               |                                             |                             | 占有領域                | 占有領域                |
| n+16、n+17               |                                             |                             |                         | ゾーン境界値＋          |
| n+18、n+19               |                                             |                             | 加速度                  | ゾーン境界値－          |
| n+20、n+21               |                                             |                             | 減速度                  | 荷重ゾーン境界＋        |
| n+22、n+23               |                                             |                             | 占有領域                | 荷重ゾーン境界－        |
| n+24、n+25               |                                             |                             | 指令プログラムNo.       |                         |
| n+26、n+27               |                                             |                             |                         |                         |
| n+28、n+29               |                                             |                             | 制御信号1               | 制御信号1               |
| n+30、n+31               |                                             |                             | 制御信号2               | 制御信号2               |
| n+32、n+33               |                                             |                             |                         |                         |
| n+34、n+35               |                                             |                             |                         |                         |

</contents>
