ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page250

<overview>
このページは、プレスプログラム仕様の各動作モードとPLC入出力エリアに関する説明で構成されています。主にテキストと表で構成されており、PLC入力エリアのアドレスと対応するデータ内容を示した表が中心です。グラフや図はなく、説明文と表の構成です。
</overview>

<contents>
### テキスト
#### プレスプログラム仕様の各動作モードとPLC入出力エリア
- SCON2の出力はPLC入力側に対応している。
- PLCアドレスの“n”は各軸の先頭アドレスを示す。

#### 注意事項
- 「占有領域」は動作モードの設定により占有される領域であり、他の目的には使用できない。
- アドレスの重複使用に注意が必要。

### 表
#### PLC入力エリア（RSP_DATA）とSCON2のDOおよび入力データレジスター（MECHATROLINK-Ⅲ）の対応

| PLC入力エリア (RSP_DATA) | SCON2のDOおよび入力データレジスター（MECHATROLINK-Ⅲ） | リモートI/Oモード 16、32、48バイトモード | フル機能モード 48バイトモード | プレス直値モード 48バイトモード |
|--------------------------|---------------------------------------------------------|----------------------------------|----------------------------|----------------------------|
| n+0、n+1                 | ポート番号 0～15                                        | ポート番号 0～15                 | 現在位置                   | 現在位置                   |
| n+2、n+3                 |                                                         |                                  | フィードバック電流         | フィードバック電流         |
| n+4、n+5                 |                                                         |                                  | 現在速度                   | 現在速度                   |
| n+6、n+7                 |                                                         |                                  | 現在荷重                   | 現在荷重                   |
| n+8、n+9                 |                                                         |                                  | 占有領域                   | 占有領域                   |
| n+10、n+11               |                                                         |                                  | プログラムアラームコード   | 占有領域                   |
| n+12、n+13               |                                                         |                                  | アラームコード             |                            |
| n+14、n+15               |                                                         |                                  | 過負荷レベルモニター       | 過負荷レベルモニター       |
| n+16、n+17               |                                                         |                                  | 実行中プログラムNo.        | アラームコード             |
| n+18、n+19               |                                                         |                                  | 状態信号1                  | 占有領域                   |
| n+20、n+21               |                                                         |                                  | 状態信号2                  | 状態信号1                  |

</contents>
