ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page266

<overview>
このページは「3.4 プレスプログラム仕様の動作モード」に関する内容で、主にPLC出力の制御信号についての説明が中心です。ページ構成は以下の通りです。
- テキスト部分：信号のビットごとの意味や動作内容の説明
- 表部分：制御信号のビット番号、記号、内容、詳細参照ページをまとめた表
- グラフや図はなし
</overview>

<contents>
### テキスト
- 表中のONは該当ビットが「1」を表し、OFFは「0」を表す。
- 制御信号1のビットb7〜b15は使用できない。
- 制御信号2の各ビットはプレスプログラムの動作モードや指令を表し、ON/OFFで動作を制御する。

### 表
#### PLC出力 制御信号のビット詳細

| 信号種類   | ビット | 記号  | 内容                                                                                                  | 詳細      |
|------------|--------|-------|-------------------------------------------------------------------------------------------------------|-----------|
| 制御信号1  | b15〜b7| －    | 使用できません                                                                                         | －        |
| 制御信号2  | b15    | DSTR  | 【位置決めスタート】ONで移動指令                                                                       | 3.5.2 [7] |
|            | b14    | JOG-  | 【－ジョグ】ONで原点方向にジョグ移動                                                                   | 3.5.2 [14]|
|            | b13    | JOG+  | 【＋ジョグ】ONで反原点方向にジョグ移動                                                                 | 3.5.2 [14]|
|            | b12    | JVEL  | 【ジョグ速度/インチング距離切替え】使用する設定値（パラメーター）を切替える<br>OFF：パラメーターNo.26“ジョグ速度”、No.48“インチング距離”<br>ON：指令速度=0の場合はパラメーターNo.47“ジョグ速度2”、No.49“インチング距離2”で動作 | 3.5.2 [15]|
|            | b11    | JISL  | 【ジョグ/インチング切替え】OFFでジョグ動作、ONでインチング動作                                         | 3.5.2 [16]|
|            | b10    | SSTP  | 【プログラム強制停止】探りステージ完了時、本ビットがONで探りステージ完了位置で停止                     | 3.5.2 [39]|
|            | b9     | FPST  | 【ブレーキ強制解除】ONで実行中のプレスプログラムが停止                                                 | 3.5.2 [38]|
|            | b8     | ENMV  | 【軸動作許可】ONで軸動作許可                                                                           | 3.5.2 [37]|
|            | b7     | PHOM  | 【プログラム原点移動】ONでプログラム原点に移動                                                       | 3.5.2 [36]|
|            | b6     | PSTR  | 【プログラムスタート】ONでプログラムスタート                                                         | 3.5.2 [35]|
|            | b5     | BKRL  | 【ブレーキ強制解除】ONでブレーキ解除                                                                 | 3.5.2 [19]|
|            | b4     | RMOD  | 【運転モード】OFFでAUTOモード、ONでMANUモード                                                        | 3.5.2 [20]|
|            | b3     | CLBR  | 【ロードセルキャリブレーション指令】ONでキャリブレーション実行                                        | 3.5.2 [33]|
|            | b2     | RES   | 【リセット】ONでリセット実行                                                                         | 3.5.2 [4] |
|            | b1     | HOME  | 【原点復帰】ONで原点復帰指令                                                                         | 3.5.2 [6] |
|            | b0     | SON   | 【サーボON指令】ONでサーボON                                                                          | 3.5.2 [5] |
</contents>
