ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page271

<overview>
このページは「3.4 プレスプログラム仕様の動作モード」に関する内容で、PLCアドレス構成について説明しています。ページ構成は以下の通りです。
- テキスト部分：PLCアドレス構成の説明と注釈
- 表部分：SCON2側入力レジスターの各種パラメータ（目標位置、速度、加速度など）に対応するPLCアドレスの一覧表
- グラフ・図部分：なし
</overview>

<contents>
### テキスト
#### 3.4 プレスプログラム仕様の動作モード
（1）PLCアドレス構成について説明しています。

注釈：
- CC-Linkの場合は「システム領域」となり、リモートデバイス局のシステム領域であるため、他の目的には使用できません。
- 「占有領域」は他の目的に使用できず、アドレスの重複使用に注意が必要です。

### 表
#### SCON2側入力レジスターのPLCアドレス構成

| 項目             | CC、CIE                      | DV    | EC、EP、PRT        | ML3               |
|------------------|------------------------------|-------|--------------------|-------------------|
| 占有領域         | RY n0～Nf ～RY(n+6)～(n+6)F | －    | －                 | －                |
| 占有領域注1      | RY(n+7)～(n+7)F              | －    | －                 | －                |
| 目標位置         | RWw (n+0)                    | n+0   | n+0、n+1           | n+4、n+5          |
| 速度             | RWw (n+1)                    | n+1   | n+2、n+3           | n+6、n+7          |
| 加速度           | RWw (n+2)                    | n+2   | n+4、n+5           | n+8、n+9          |
| 減速度           | RWw (n+3)                    | n+3   | n+6、n+7           | n+10、n+11        |
| 加圧荷重         | RWw (n+4)                    | n+4   | n+8、n+9           | n+12、n+13        |
| 占有領域         | RWw (n+5)                    | n+5   | n+10、n+11         | n+14、n+15        |
| ゾーン境界値＋   | RWw (n+6)                    | n+6   | n+12、n+13         | n+16、n+17        |
| ゾーン境界値－   | RWw (n+7)                    | n+7   | n+14、n+15         | n+18、n+19        |
| 荷重ゾーン境界＋ | RWw (n+8)                    | n+8   | n+16、n+17         | n+20、n+21        |
| 荷重ゾーン境界－ | RWw (n+9)                    | n+9   | n+18、n+19         | n+22、n+23        |
| 制御信号１       | RWw (n+10)                   | n+10  | n+20、n+21         | n+24、n+25        |
| 制御信号２       | RWw (n+11)                   | n+11  | n+22、n+23         | n+26、n+27        |
|                  | RWw (n+12)                   | n+12  | n+24、n+25         | n+28、n+29        |
|                  | RWw (n+13)                   | n+13  | n+26、n+27         | n+30、n+31        |
|                  | RWw (n+14)                   | n+14  | n+28、n+29         | n+32、n+33        |
|                  | RWw (n+15)                   | n+15  | n+30、n+31         | n+34、n+35        |

</contents>
