ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page283

<overview>
本ページは「3.5 入出力信号の制御と機能」セクションの一部であり、主に入出力信号の一覧を示しています。構成は以下の通りです。
- テキスト部分：入出力信号のON/OFF表記の説明、ポジショナー仕様やサーボプレス仕様での使用についての注意書き
- 表部分：入出力信号の信号名、名称、PLC入出力区分、対応コントローラー（ポジショナー、サーボプレス）、参照先をまとめた一覧表
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 3.5 入出力信号の制御と機能
##### 3.5.1 入出力信号一覧
- ONの表記はビット信号の“1”、OFFは“0”を表す。
- ポジショナー仕様、サーボプレス仕様で使用する入出力信号の制御と機能を示す。
- ポジショナー仕様のリモートI/Oモード1～3の入出力信号については、別途「SCON2取扱説明書（MJ0458）」を参照。

### 表
#### 入出力信号一覧

| 信号   | 名称                     | PLC入出力 | 対応コントローラー | 参照先       |
| :----- | :----------------------- | :-------- | :----------------- | :----------- |
|        |                          |           | ポジショナー | サーボプレス |              |
| PWR    | コントローラー準備完了   | 入力      | ○           |             | 3.5.2【1】   |
| EMGS   | 非常停止                 | 入力      | ○           | ○           | 3.5.2【2】   |
| ALM    | アラーム                 | 入力      | ○           | ○           | 3.5.2【3】   |
| RES    | リセット                 | 出力      | ○           | ○           | 3.5.2【4】   |
| SON    | サーボON指令             | 出力      | ○           | ○           | 3.5.2【5】   |
| SV     | 運転準備完了             | 入力      | ○           | ○           | 3.5.2【5】   |
| HOME   | 原点復帰（指令）         | 出力      | ○           |             | 3.5.2【6】   |
| HEND   | 原点復帰完了             | 入力      | ○           | ○           | 3.5.2【6】   |
| GHMS   | 原点復帰中               | 入力      | ○           |             | 3.5.2【6】   |
| CSTR   | 位置決めスタート         | 出力      | ○           |             | 3.5.2【7】   |
| DSTR   | 位置決め指令             | 出力      | ○           | ○           | 3.5.2【8】   |
| MOVE   | 移動中信号               | 入力      | ○           |             | 3.5.2【9】   |
| PEND   | 位置決め完了信号         | 入力      | ○           | ○           | 3.5.2【10】  |
| MEND   | 指令完了信号             | 入力      | ○           |             | 3.5.2【11】  |
| STP    | 一時停止信号             | 出力      | ○           |             | 3.5.2【12】  |
| ZONE1  | ゾーン1                  | 入力      | ○           | ○           | 3.5.2【13】(1)|
| ZONE2  | ゾーン2                  | 入力      | ○           | ○           | 3.5.2【13】(1)|
| PZONE  | ポジションゾーン         | 入力      | ○           | ○           | 3.5.2【13】(2)|
| JOG+   | ジョグ＋                 | 出力      | ○           | ○           | 3.5.2【14】(1)|
| JOG-   | ジョグ－                 | 出力      | ○           | ○           | 3.5.2【14】(2)|
| JVEL   | ジョグ速度/インチング距離切替え | 出力 | ○           | ○           | 3.5.2【15】  |
| JISL   | ジョグ/インチング切替え  | 出力      | ○           | ○           | 3.5.2【16】  |

</contents>
