ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page370

<overview>
このページは「5.1 パラメーター」章の一部であり、フィールドネットワークに関連するパラメーター一覧を示しています。構成は以下の通りです。
- テキスト部分：章タイトル、節タイトル、説明文
- 表部分：パラメーターNo.、パラメーター名称、入力範囲、工場出荷時の初期値、詳細項目をまとめた表
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 5.1.1 関連パラメーター一覧
フィールドネットワークに関連するパラメーター一覧は以下のとおりです。

### 表
| パラメーターNo. | パラメーター名称                         | 入力範囲                     | 工場出荷時の初期値    | 詳細項目      |
| :-------------- | :------------------------------------- | :--------------------------- | :-------------------- | :------------ |
| 84              | フィールドバス動作モード               | 0～9                         | ネットワークによる     | 5.1.2 {1}    |
| 85              | フィールドバスノードアドレス           | ネットワークによる           | ネットワークによる     | 5.1.2 {2}    |
| 86              | フィールドバス通信速度                 | 0～4                         | ネットワークによる     | 5.1.2 {3}    |
| 87              | ネットワークタイプ                     | 0～11                        | ネットワークによる     | 5.1.2 {4}    |
| 90              | フィールドバス入出力フォーマット       | 0～3                         | ネットワークによる     | 5.1.2 {5}    |
| 140             | IPアドレス                            | 0.0.0.0～255.255.255.255     | 192.168.0.1           | 5.1.2 {6}    |
| 141             | サブネットマスク                       | 0.0.0.0～255.255.255.255     | 255.255.255.0         | 5.1.2 {7}    |
| 142             | デフォルトゲートウェイ                 | 0.0.0.0～255.255.255.255     | 0.0.0.0               | 5.1.2 {8}    |
| 159             | FBハーフ直値モード速度単位             | 0: 1mm/s単位 1: 0.1mm/s単位  | 0                     | 5.1.2 {9}    |
| 188             | ネットワーク番号                       | 1～239                      | 1                     | 5.1.2 {10}   |
| 189             | 直値指令加圧荷重単位                   | 0～3                         | アクチュエーターによる | 5.1.2 {11}   |
| 208             | UDP検索フレーム用ポート番号            | 49152～65535                 | 65535                 | 5.1.2 {12}   |
</contents>
