ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page374

<overview>
本ページは「5.1 パラメーター」セクションの一部であり、フィールドバス通信速度に関するパラメーター（パラメーターNo.86）について説明しています。構成は以下の通りです。
- テキスト部分：フィールドバス通信速度の概要説明と適用されるネットワーク種別の説明
- 表部分：CC-Link、DeviceNet、EtherNet/IP、MECHATROLINK-III 各ネットワークにおける設定値と通信速度の対応表
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### フィールドバス通信速度（パラメーターNo.86）
フィールドバスの通信速度・伝送バイト数を指定するパラメーターです。本パラメーターが有効なネットワーク種別はCC-Link、DeviceNet、EtherNet/IP、MECHATROLINK-IIIであり、その他のネットワークでは無効となります。無効の場合はマスターの通信速度に自動追従するか、ネットワーク仕様で定められた固定の通信速度となります。

### 表
#### CC-Linkの場合

| 設定値           | 通信速度       |
| :--------------- | :------------- |
| 0 (出荷時設定)   | 156kbps       |
| 1                | 625kbps       |
| 2                | 2.5Mbps       |
| 3                | 5Mbps         |
| 4                | 10Mbps        |
| 上記以外         | ボーレート設定エラー |

#### DeviceNetの場合

| 設定値           | 通信速度       |
| :--------------- | :------------- |
| 0 (出荷時設定)   | 自動追従       |
| 1                | 125Kbps       |
| 2                | 250Kbps       |
| 3                | 500Kbps       |
| 上記以外         | ボーレート設定エラー |

#### EtherNet/IPの場合

| 設定値           | 通信速度           |
| :--------------- | :----------------- |
| 0                | 自動ネゴシエーション |
| 1                | 10Mbps 半二重      |
| 2                | 10Mbps 全二重      |
| 3                | 100Mbps 半二重     |
| 4                | 100Mbps 全二重     |
| 上記以外         | 設定エラー         |

#### MECHATROLINK-IIIの場合

| 設定値           | 通信速度       |
| :--------------- | :------------- |
| 0                | 16バイトモード  |
| 1                | 32バイトモード  |
| 2 (出荷時設定)   | 48バイトモード  |
</contents>
