ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page401

<overview>
このページは「MECHATROLINK-Ⅲ 基本通信のフローおよびコマンド」に関する付録の一部であり、IDコードの詳細について説明しています。ページ構成は主に表形式で、IDコードごとの説明、データサイズ、データタイプ、具体的なデータ内容が一覧で示されています。テキスト部分は表の見出しや補足説明が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### IDコード詳細
MECHATROLINK-Ⅲの通信に使用される各IDコードの詳細を示しています。IDコードごとに説明、データサイズ（バイト単位）、データタイプ、具体的なデータ内容が記載されています。

### 表
#### IDコード詳細一覧

| ID CODE | 説明                             | データサイズ[バイト] | データタイプ                     | データ内容・備考                                                                                  |
|---------|----------------------------------|----------------------|---------------------------------|--------------------------------------------------------------------------------------------------|
| 01H     | ベンダーIDコード                 | 4                    | バイナリ                        | 000000CAH                                                                                       |
| 02H     | デバイスコード（機種コード）     | 4                    | バイナリ                        | SCON2-CG = 0000AA18H                                                                            |
| 03H     | デバイスバージョン（アプリ部バージョンコード） | 4                    | バイナリ                        | SCON2-CG = 0000****H ※****部：アプリ部バージョン                                                  |
| 04H     | 機器情報ファイルバージョン       | 4                    | バイナリ                        | 00001000H                                                                                       |
| 05H     | 拡張アドレス設定（拡張アドレスの使用数） | 4                    | バイナリ                        | 00000001H（1軸）                                                                               |
| 06H     | シリアル番号                     | 32                   | ASCIIコード（デリミター=00H）  | コントローラーのシリアル番号                                                                     |
| 10H     | プロファイルタイプ1（プライマリー） | 4                    | バイナリ                        | 00000030H（標準I/O）                                                                            |
| 11H     | プロファイルバージョン1（プライマリー） | 4                    | バイナリ                        | 00000100H（V1.00）                                                                              |
| 12H     | プロファイルタイプ2               | 4                    | バイナリ                        | 000000FFH（未対応）                                                                             |
| 13H     | プロファイルバージョン2           | 4                    | バイナリ                        | 00000000H                                                                                       |
| 14H     | プロファイルタイプ3               | 4                    | バイナリ                        | 000000FFH（未対応）                                                                             |
| 15H     | プロファイルバージョン3           | 4                    | バイナリ                        | 00000000H                                                                                       |
| 16H     | 伝送周期最小値（0.01μs）          | 4                    | バイナリ                        | 000030D4H（0.125ms）                                                                            |
| 17H     | 伝送周期最大値（0.01μs）          | 4                    | バイナリ                        | 00061A80H（4ms）                                                                               |
| 18H     | 伝送周期刻み（GRANULARITY）       | 4                    | バイナリ                        | 00000002H（0.5ms）                                                                             |
| 19H     | 通信周期最小値（0.01μs）          | 4                    | バイナリ                        | 000030D4H（0.125ms）                                                                            |
| 1AH     | 通信周期最大値（0.01μs）          | 4                    | バイナリ                        | 0030D400H（32ms）                                                                              |
| 1BH     | 伝送バイト数（対応ビットパターン） | 4                    | バイナリ                        | 0000000EH（16、32または48バイト）                                                              |
| 1CH     | 伝送バイト数（現在設定値）         | 4                    | バイナリ                        | パラメーターで設定されたバイト数                                                                |
| 1DH     | プロファイルタイプ（現在選択値）   | 4                    | バイナリ                        | -                                                                                                |
| 20H     | 通信モード対応                   | 4                    | バイナリ                        | 00000003H（サイクリック通信、イベントドリブン通信）                                            |
| 21H     | 予約                             | -                    | -                               | -                                                                                                |
| 30H     | メインコマンド対応リスト           | 32                   | Array[32]                      | [0]=79H [1]=C0H [2]=00H [3]=00H [4]=01H [5]～[31]=00H                                            |
| 38H     | サブコマンド対応リスト             | 32                   | Array[32]                      | [0]～[31]=00H                                                                                   |
| 40H     | 共通パラメーター対応リスト         | 32                   | Array[32]                      | [0]～[31]=00H                                                                                   |
| 80H     | 主デバイス名称（コントローラーの製品名） | 32                   | ASCIIコード（デリミター=00H）  | "SCON2-CG"                                                                                      |
| 81H～   | 予約                             | -                    | -                               | -                                                                                                |

</contents>
