ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page85

<overview>
このページは「フィールドバス動作モード（パラメーターNo.84）」に関する説明で構成されています。  
主にテキスト部分と表部分で構成されており、テキストで動作モードの設定方法と概要を説明し、表で各設定値に対応するモード名、占有バイト数、内容の詳細を示しています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### フィールドバス動作モード（パラメーターNo.84）
動作モードはパラメーターNo.84「フィールドバス動作モード」で設定します。  
この設定により、PLCの占有バイト数が決まります。

##### ポジショナー仕様
ポジショナー仕様の設定範囲は0～9です。  
※1 これ以外の値を入力すると「入力値過大エラー」が発生します。

### 表
#### ポジショナー仕様の設定値一覧

| 設定値 (出荷時設定) | モード名                     | 占有バイト数 | 内容                                                                                              |
| :------------------ | :-------------------------- | :----------- | :------------------------------------------------------------------------------------------------ |
| 0                   | リモートI/Oモード           | 2            | PIO（24V入出力）による運転をEtherCATによって行います。                                           |
| 1                   | ポジション/簡易直値モード   | 8            | 目標位置を直接数値で指定するか、ポジションデータの値で運転できます。その他の運転に必要な値はポジションデータに設定します。 |
| 2                   | ハーフ直値モード             | 16           | 目標位置以外に速度、加減速度、電流値を直接数値で指定して運転を行います。                         |
| 3                   | フル直値モード               | 32           | 位置制御に関するすべての値を直接数値で指定して運転を行います。                                   |
| 4                   | リモートI/O2モード           | 12           | リモートI/Oモードの機能に、現在位置と現在速度の読取り機能を追加したものです。                   |
| 5                   | ポジション/簡易直値2モード   | 8            | ポジション/簡易直値モードで力制御を行う場合に設定します。                                       |
| 6                   | ハーフ直値2モード             | 16           | ハーフ直値モードで力制御を行う場合に設定します。                                               |
| 7                   | リモートI/O3モード           | 12           | リモートI/O2モードで力制御を行う場合に設定します。                                             |
| 8                   | ハーフ直値3モード             | 16           | ハーフ直値モードで、サーボゲイン切替えや制振制御パラメーター切替えを行う場合に設定します。       |
| 9                   | フル直値2モード               | 32           | 位置制御に関するすべての値を直接数値で指定して運転を行います。また、過負荷レベル、現在指令値や推定回生放電電力量などのモニターが可能です。 |

</contents>
