ファイル名: SCON2(MJ0458-1E)_page144

<overview>
このページは「4.2 ポジショナーモードの運転」に関する内容で構成されています。
ページ全体は主に「テキスト部分」と「表部分」で構成されており、テキストは主に表のタイトルや説明文、表は「主要機能の概要」を示す一覧表となっています。
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 4.2 ポジショナーモードの運転
【2】主要機能の概要

### 表
#### 主要機能の概要

| 主要機能                     | 概要                                                                                   |
|------------------------------|----------------------------------------------------------------------------------------|
| 位置決め点数                 | ポジションテーブルに設定できる位置決めポジション数                                     |
| ポジション No.入力運転       | バイナリーデータによるポジション No.を入力した後でスタート信号を ON して運転する標準的な運転 |
| ポジション No.直接指定運転   | 直接ポジション No.に対応する信号を ON しての運転                                     |
| 位置決め                     | ポジションテーブルに設定したデータにより任意の位置へ位置決め                           |
| 移動中速度変更               | 移動中に別のポジション No.を起動することで速度変更                                   |
| 押付け（引張り）             | ポジションテーブルに設定した、任意の押付け（引張り）力による運転                     |
| カセンサー使用押付け         | 現在の押付け力をカセンサー（ロードセル）で測定し、制御することで高精度な押付けを行う   |
| ピッチ送り（相対移動送り）運転 | ポジションテーブルに設定した任意移動量のピッチ送り                                   |
| 原点復帰信号入力             | 原点復帰のための専用入力信号、ON で原点復帰開始                                     |
| 一時停止入力                 | 信号の ON/OFF で動作の中断、続行                                                   |
| ジョグ移動入力               | 入力を ON している間だけアクチュエーターが移動する                                   |
| 教示入力（現在位置書込み）   | 入力信号の ON で停止中の座標値をポジションテーブルに書込む                           |
| ブレーキ解除信号入力         | 入力を ON している間だけブレーキ（オプション）を解除する                             |
| 移動中信号出力               | アクチュエーターの移動中、出力信号が ON                                               |
| ゾーン信号出力               | アクチュエーターが、パラメーターに設定された座標値の範囲内にあるとき出力信号が ON     |
| ポジションゾーン信号出力     | アクチュエーターが、ポジションテーブルに設定された座標値の範囲内にあるとき出力信号が ON |
| 位置検出フィードバックパルス出力 | エンコーダーからのフィードバックパルスを差動出力する。詳細は「4.3 パルス列制御モード」参照 |
| 制振制御                     | アクチュエーターに取付けられた負荷の振動抑制が可能。ただし、原点復帰および押付け動作時は無効 |

</contents>
