ファイル名: SCON2(MJ0458-1E)_page200

<overview>
このページは「ポジショナーモードの運転」に関する技術説明で構成されています。テキスト部分では、ポジション直接指令（PIOパターン4、7）の運転方法や特徴について解説しています。表部分には、PIOパターン4およびパターン7のポジションNo.ごとの入力信号と出力信号の対応関係が示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 4.2.5 ポジション直接指令（PIOパターン4、7）の運転
ポジションNo.ごとにスタート信号があり、対応する入力信号をONにするだけで目的のポジションNo.のデータによる運転が可能です。電磁弁でエアシリンダーを直接駆動する運転方法で、電磁弁モードと呼ばれます。

位置決め完了後は、完了のポジションNo.ごとに位置決め完了信号とともに出力されます。

PIOパターン7はカセンサー使用押付け専用で、ロードセル付きアクチュエーターの運転用に精度の高い押付け制御が可能です。運転前にキャリブレーションやパラメーターの初期設定が必要です（詳細は4.2.7参照）。

位置決め、押付け動作、ピッチ送りが可能で、制御方法は同一です。

#### （1）位置決め【基本】（ST0～ST6、PE0～PE6、PEND）
PIOパターン4（ST0～ST6、PE0～PE6、PEND）とPIOパターン7（ST0～ST4、PE0～PE4、PEND）の入力・出力対応表が示されています。

注記：
- 移動中の速度変更はできません。
- 原点復帰を行わずにスタート信号ST*が指令されると、自動的に原点復帰動作を行った後、指令されたポジションNo.のデータによる運転が行われます。
- 問題がある場合は、原点復帰完了信号HENDによるインターロックが必要です。

### 表
#### PIOパターン4（ST0～ST6、PE0～PE6、PEND）

| ポジションNo. | 入力 | 出力 | 出力 |
| :------------ | :--- | :--- | :--- |
| 0             | ST0  | PE0  | PEND |
| 1             | ST1  | PE1  | PEND |
| 2             | ST2  | PE2  | PEND |
| 3             | ST3  | PE3  | PEND |
| 4             | ST4  | PE4  | PEND |
| 5             | ST5  | PE5  | PEND |
| 6             | ST6  | PE6  | PEND |

#### PIOパターン7（ST0～ST4、PE0～PE4、PEND）

| ポジションNo. | 入力 | 出力 | 出力 |
| :------------ | :--- | :--- | :--- |
| 0             | ST0  | PE0  | PEND |
| 1             | ST1  | PE1  | PEND |
| 2             | ST2  | PE2  | PEND |
| 3             | ST3  | PE3  | PEND |
| 4             | ST4  | PE4  | PEND |
</contents>
