ファイル名: SCON2(MJ0458-1E)_page279

<overview>
このページは「5.1.3 制振制御のパラメーター設定」に関する内容で構成されています。  
主に以下のセクションで構成されています。  
- テキスト部分：制振制御のパラメーター設定の説明、注意事項、参考情報  
- 表部分：制振制御に関するパラメーター一覧（パラメーターNo.、セットNo.、名称、単位、初期値、入力範囲）  
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 5.1.3 制振制御のパラメーター設定
制振制御に関するパラメーターを設定するための説明です。関連パラメーターを表で示しています。

【注意事項】  
1. 減衰特性係数1、2（パラメーターNo.97・98、101・102、105・106）は変更しないこと。  
2. 固有振動数（1/1,000Hz）（パラメーターNo.99、103、107）は、測定した積載物の固有振動数を設定してください。積載物の固有振動数に近い設定にすると、より高い振動抑制性能を発揮します。

【参考】振動測定方法  
- 振動計（加速度ピックアップ）などの測定器を使用する  
- ビデオ映像データより算出する

### 表
#### 制振制御のパラメーター一覧

| パラメーターNo. | パラメーターセットNo. | パラメーター名称           | 単位          | 初期値  | 入力範囲       |
| :-------------- | :--------------------- | :------------------------- | :------------ | :------ | :------------- |
| 97              | 1                      | 減衰特性係数1              | Rate          | 10      | 0～1,000       |
| 98              | 1                      | 減衰特性係数2              | Rate          | 1,000   | 0～1,000       |
| 99              | 1                      | 固有振動数                 | 1/1,000Hz     | 10,000  | 500～30,000    |
| 100             | 1                      | ノッチフィルターゲイン     | Rate          | 9,990   | 1～20,000      |
| 101             | 2                      | 減衰特性係数1              | Rate          | 10      | 0～1,000       |
| 102             | 2                      | 減衰特性係数2              | Rate          | 1,000   | 0～1,000       |
| 103             | 2                      | 固有振動数                 | 1/1,000Hz     | 10,000  | 500～30,000    |
| 104             | 2                      | ノッチフィルターゲイン     | Rate          | 9,990   | 1～20,000      |
| 105             | 3                      | 減衰特性係数1              | Rate          | 10      | 0～1,000       |
| 106             | 3                      | 減衰特性係数2              | Rate          | 1,000   | 0～1,000       |
| 107             | 3                      | 固有振動数                 | 1/1,000Hz     | 10,000  | 500～30,000    |
| 108             | 3                      | ノッチフィルターゲイン     | Rate          | 9,990   | 1～20,000      |
| 109             | -                      | 制振No.初期値              | -             | 0       | 0～3           |
| 110             | -                      | サーボOFF時停止方法        | -             | 0       | 0、1           |
</contents>
