ファイル名: SCON2(MJ0458-1E)_page302

<overview>
このページは「6.1 パラメーター」に関する内容で、主に表形式で構成されています。表はパラメーターのNo.、区分、名称、単位、入力範囲、工場出荷時の初期値、対応モード（ポジショナーモード用、パルス列モード用）、および詳細項目の情報を示しています。テキスト部分は見出しのみで、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（No.213～225）

| No.  | 区分 | 名称                         | 単位 | 入力範囲                                   | 工場出荷時の初期値 | ポジショナーモード用 | パルス列モード用 | 詳細項目          |
| :--- | :--- | :--------------------------- | :--- | :----------------------------------------- | :----------------- | :------------------- | :--------------- | :---------------- |
| 213  | B    | 衝突判定電流値1              | %    | 0～アクチュエーターによる                   | 100                | ○                    | －                | 6.1.2【125】      |
| 214  | B    | 衝突判定距離1                | mm   | 0.00～アクチュエーターによる                 | 5.00                | ○                    | －                | 6.1.2【126】      |
| 215  | B    | 衝突判定時間1                | ms   | 1～65535                                  | 5                   | ○                    | －                | 6.1.2【127】      |
| 216  | B    | 衝突検出時1退避動作ポジションNo. | －    | -1～コントローラーの設定による（ポジション番号の最大値） | -1:無効             | ○                    | －                | 6.1.2【128】      |
| 217  | B    | 衝突判定電流値2              | %    | 0～アクチュエーターによる                   | 100                | ○                    | －                | 6.1.2【125】      |
| 218  | B    | 衝突判定距離2                | mm   | 0.00～アクチュエーターによる                 | 5.00                | ○                    | －                | 6.1.2【126】      |
| 219  | B    | 衝突判定時間2                | ms   | 1～65535                                  | 5                   | ○                    | －                | 6.1.2【127】      |
| 220  | B    | 衝突検出時2退避動作ポジションNo. | －    | -1～コントローラーの設定による（ポジション番号の最大値） | -1:無効             | ○                    | －                | 6.1.2【128】      |
| 221  | B    | 衝突判定電流値3              | %    | 0～アクチュエーターによる                   | 100                | ○                    | －                | 6.1.2【125】      |
| 222  | B    | 衝突判定距離3                | mm   | 0.00～アクチュエーターによる                 | 5.00                | ○                    | －                | 6.1.2【126】      |
| 223  | B    | 衝突判定時間3                | ms   | 1～65535                                  | 5                   | ○                    | －                | 6.1.2【127】      |
| 224  | B    | 衝突検出時3退避動作ポジションNo. | －    | -1～コントローラーの設定による（ポジション番号の最大値） | -1:無効             | ○                    | －                | 6.1.2【128】      |
| 225  | B    | 衝突検出機能出力選択          | －    | 0：アラーム<br>1：ワーニング                 | 0：アラーム          | ○                    | －                | 6.1.2【129】      |

</contents>
