ファイル名: SCON2(MJ0458-1E)_page355

<overview>
本ページはパラメーター設定に関する内容で構成されています。主にテキスト説明と複数の表で構成されており、各パラメーターの名称、単位、入力範囲、工場出荷時の初期値が示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 衝突判定時間1、2、3（パラメーターNo.215、219、223）
パラメーターNo.213、217、221の“衝突判定電流値1～3”またはパラメーターNo.214、218、222の“衝突判定距離1～3”の設定値を超えた時点から時間のカウントを開始し、設定した時間に達すると衝突を検出します。  
両方の設定値を設定した場合は、両方の設定値を超えてから時間のカウントを始めます。  
設定値を下回った場合は、下回った時間分減算されます。詳細は「5.3 衝突検出」を参照。

#### 衝突検出時1、2、3退避動作ポジションNo.（パラメーターNo.216、220、224）
衝突を検出したときに退避移動量を設定します。

#### 衝突検出機能出力選択（パラメーターNo.225）
衝突を検知したときに発するアラームの種類を選択します。

### 表
#### 衝突判定時間1、2、3（パラメーターNo.215、219、223）

| No.  | 名称           | 単位 | 入力範囲     | 工場出荷時の初期値 |
| :--- | :------------- | :--- | :----------- | :----------------- |
| 215  | 衝突判定時間1  | ms   |              |                    |
| 219  | 衝突判定時間2  | ms   | 1～65535     | 5                  |
| 224  | 衝突判定時間3  | ms   |              |                    |

#### 衝突検出時1、2、3退避動作ポジションNo.（パラメーターNo.216、220、224）

| No.  | 名称                     | 単位 | 入力範囲                                   | 工場出荷時の初期値 |
| :--- | :----------------------- | :--- | :----------------------------------------- | :----------------- |
| 216  | 衝突検出時1退避動作ポジションNo. | ―    | -1～コントローラーの設定による（ポジション番号の最大値） |                    |
| 220  | 衝突検出時2退避動作ポジションNo. | ―    |                                            | -1                 |
| 224  | 衝突検出時3退避動作ポジションNo. | ―    |                                            |                    |

#### 衝突検出機能出力選択（パラメーターNo.225）

| No.  | 名称               | 単位 | 入力範囲          | 工場出荷時の初期値 |
| :--- | :----------------- | :--- | :---------------- | :----------------- |
| 225  | 衝突検出機能出力選択 | ―    | 0：アラーム<br>1：ワーニング | 0                  |
</contents>
