ファイル名: SCON2(MJ0458-1E)_page387

<overview>
本ページは「8.3.2 アラーム詳細」に関する内容で構成されています。  
テキスト部分では、アラームコードの記載方法と対応コントローラーの説明があり、  
表部分では各アラームコードごとの名称、原因および対策が詳細に一覧化されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 8.3.2 アラーム詳細
対応するコントローラーが限定される場合、対応するコントローラーの種類を示す記号をアラームコード欄に記載します。  
記号が記載されていないアラームコードは全コントローラー共通です。

### 表
#### メッセージレベル アラーム一覧

| アラームコード | アラーム名称                     | 原因／対策                                                                                                                                                                                                                   |
|:--------------:|:------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1012           | カレンダー機能無効時カレンダー機能関連コマンド | 原因: RTC（カレンダー）機能を無効に設定した状態でカレンダーを使おうとした。<br>対策: パラメーターNo.111 カレンダー機能使用選択=0（使用しない）を「1」に設定してください。                                                                                   |
| 048            | ドライバー過負荷警告             | 原因: 負荷電流値が、パラメーターNo.143 “過負荷ロードレベル比”の設定を超えた。<br>本アラームは、リセットするまでアラーム状態を保持します。<br>対策: 加減速の設定を下げてください。または休止の割合を増やしてください。                                                   |
| 049            | 衝突警告                       | 原因: 衝突検出が設定されたポジションへの移動時に衝突が検出された。<br>対策: 1. 衝突の要因となる障害物を取り除いてください。<br>2. 衝突検出の設定値が厳しいと通常の動作で誤検出する場合があります。設定値を見直してください。                                         |
| 04A            | 推定寿命超過警告                 | 原因: モーター電源用コンデンサーが計算上の寿命時間を超えた。<br>対策: できるかぎり早くコントローラーを交換してください。                                                                                                             |
| 04C            | FAN 回転数低下                  | 原因: ファン回転数がワーニングレベル以下に低下した。<br>対策: ファンの劣化が考えられます。ファンユニットを交換してください。                                                                                                     |
| 04D            | FAN 通算駆動時間オーバー          | 原因: ファン通算駆動時間が交換目安時間を超えた。<br>対策: 本アラームは異常を示すものではありません。ファンユニット交換時期の目安として利用してください。                                                                     |
| 04E            | 移動回数目標値オーバー            | 原因: 通算移動回数が、パラメーターNo.147 “通算移動回数目標値”に設定した回数を超えた。                                                                                                                                    |
| 04F            | 走行距離目標値オーバー            | 原因: 通算走行距離が、パラメーターNo.148 “通算走行距離目標値”に設定した距離を超えた。                                                                                                                                    |
| 069            | リアルタイムクロック発振停止検出    | 原因: カレンダー機能が動作を停止し、現在時刻データが失われた。<br>対策: 時刻を再設定してください。<br>（注）アラームリストには登録されません。                                                                                   |
| 06A            | リアルタイムクロックアクセス異常    | 原因: ノイズまたは部品故障により、カレンダー機能が正常動作していない。<br>対策: 1. ノイズ対策を実施してください。<br>2. カレンダー機能を使用しない場合はパラメーターNo.111 “カレンダー機能使用選択”を0に設定してください。<br>3. カレンダー機能を使用する場合、ノイズ対策を実施しても改善しない場合は当社まで連絡してください。 |
| 06B            | メンテナンス情報データ異常         | 原因: メンテナンス情報（通算移動回数、通算走行距離）が失われた。<br>対策: 当社まで連絡してください。                                                                                                                       |
| 100～1FF       | ティーチングツールのアラーム        | [ティーチングツールの取扱説明書]参照                                                                                                                                                                                      |
</contents>
