ファイル名: SCON2(MJ0458-1E)_page388

<overview>
このページは「8.3 アラームについて」の一部であり、動作解除レベルに関するアラームコード一覧の表で構成されています。  
主に表部分で構成されており、アラームコード、アラーム名称、原因および対策が3列の表形式で詳細に記載されています。  
テキスト部分は表のタイトルと小見出しのみで、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 動作解除レベルのアラーム一覧

| アラームコード | アラーム名称                         | 原因/対策                                                                                                                                                                                                                   |
|:--------------:|:----------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 080            | サーボOFF時移動指令                 | 原因: サーボOFF状態で移動指令を行った。<br>対策: サーボON状態を確認してから（サーボON信号SVまたは位置決め完了信号PENDがONの状態）移動指令を行ってください。                                                            |
| 082            | 原点復帰未完了状態でのポジション移動指令 | 原因: 原点復帰未完了状態でポジション移動指令が入力された。<br>対策: 原点復帰完了信号HENDがON状態を確認してから移動指令を行ってください。                                                                                  |
| 083            | 原点復帰未完了時数値指令             | 原因: 原点復帰未完了状態で絶対位置の数値指令を行った。（フィールドネットワークなどによる直接数値指令）<br>対策: 原点復帰動作をさせ、原点復帰完了信号HENDを確認してから数値指令を行ってください。                     |
| 084            | 原点復帰実行中の移動指令             | 原因: 原点復帰実行中に移動指令を行った。<br>対策: 原点復帰動作をさせ、原点復帰完了信号HENDを確認してから移動指令を行ってください。                                                                                      |
| 085            | 移動時ポジションNo.異常              | 原因: ポジショナーモードで存在しない（有効でない）ポジションNo.の指定を行った。<br>対策: ポジションテーブルを再確認し、有効なポジションNo.を指定してください。                                                        |
| 086            | パルス列入力有効時の移動指令          | 原因: パルス列入力有効時または、モーション指令有効時にシリアル通信からアクチュエーター動作指令を行った。<br>対策: パルス列制御モード、モーションモードでは、シリアル通信からアクチュエーター移動指令を行わないでください。 |
| 087            | ロードセルキャリブレーション処理中移動指令 | 原因: ロードセルキャリブレーション中に移動指令を行った。<br>対策: ロードセルキャリブレーションが終了したことをキャリブレーション完了（CEND）信号で確認した後、CLBR信号をOFFにしてから移動指令を行ってください。   |
| 088            | ロードセル無効時カセンサー押付け指令    | 原因: ロードセル無効状態で力制御による押付け指令を行った。<br>対策: コントローラーを再起動し、ロードセルが有効な状態になってから力制御による押付け指令を行ってください。                                               |
| 090            | サーボON状態でのソフトウェアリセット指令 | 原因: サーボON状態のときにソフトウェアリセット指令を行った。<br>対策: サーボOFF状態（SV信号がOFFの状態）を確認してからソフトウェアリセット指令を行ってください。                                                     |
| 091            | ティーチ時ポジションNo.異常           | 原因: ティーチング（教示）時、範囲外のポジションNo.の指定を行った。<br>対策: 指定ポジションNo.を63以下にしてください。                                                                                               |
| 092            | 移動中PWRT信号検出                   | 原因: PIOパターン1の教示モードで、現在位置書込み信号（PWRT）がジョグ移動中のときに入力された。<br>対策: 停止中（移動中信号MOVEがOFF状態）を確認してから入力してください。                                               |
| 093            | 原点復帰未完了状態PWRT信号検出         | 原因: PIOパターン1の教示モードで、現在位置書込み信号（PWRT）が原点復帰未完了のときに入力された。<br>対策: 最初に原点復帰信号HOMEを入力して原点復帰を行い、原点復帰完了（HEND信号がON状態）を確認してから入力してください。 |
| 095            | 基準位置移動指令でのDCLR信号検出       | 原因: 1.偏差カウンタークリアー（DCLR）信号がONの状態で基準位置移動指令（RSTR）信号をONした。<br>2.基準位置移動中にDCLR信号がONされた。<br>対策: 適切なタイミングでDCLR信号をONしてください。                   |
</contents>
