ファイル名: SCON2(MJ0458-1E)_page395

<overview>
本ページは「アラームについて」の説明で構成されており、主に表形式でアラームコード、アラーム名称、原因および対策が一覧化されています。テキスト部分は表の説明や補足はなく、表がページ全体の主要コンテンツです。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### アラームコード別原因・対策一覧

| アラームコード | アラーム名称                     | 原因/対策                                                                                                                                                                                                                      |
|:--------------|:------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 0A6           | ダイナミックブレーキ未解除エラー | 原因：ノイズや静電気などにより、サーボON時にダイナミックブレーキが解除できない。<br>対策：ノイズおよび静電気対策を行う。回路故障の場合は当社まで問い合わせ。                                                                                   |
| 0A8           | 未対応モーター・エンコーダー種別 | 原因：本コントローラーが対応していないモーターまたはエンコーダーが接続された、またはパラメーターに設定されたモーター、エンコーダーの種類が未定義。<br>対策：制御対象のアクチュエーターで本アラームが発生する場合や電源再投入しても再現する場合はコントローラー交換。 |
| 0A9           | ロードセルデータ異常             | 原因：電源投入時またはソフトウェアリセット時にロードセルから取得したデータが異常。<br>対策：電源再投入を繰返しても発生する場合はロードセル故障の可能性あり。修理・交換検討。                                                               |
| 0B3           | リニア疑似アブソエラー           | 原因：原点復帰が正常に行われなかった。<br>1. 原点復帰途中でワークが周囲と干渉。<br>2. エンコーダー故障。<br>対策：干渉を除去し、当社まで連絡。                                                                                   |
| 0B4           | 電気角不整合                     | 原因：位置偏差カウンターがオーバーフロー。<br>対策：アクチュエーターが動作できない時発生。周囲の干渉やブレーキ解除状況を確認。エンコーダー線の断線やケーブル接続異常があれば当社へ連絡。                                                     |
| 0B7           | 磁極不確定                     | 原因：シリアルデータ通信方式のエンコーダー以外で、電源投入後の最初のサーボON時に磁極相検出ができない。<br>1. モーター中継ケーブル接触不良・断線。<br>2. ブレーキ解除不可。<br>3. 外力でモーター検出動作不可。<br>4. アクチュエーターの摺動抵抗大。<br>対策：ケーブル配線状況、ブレーキ音確認、組付け状態確認、摺動抵抗確認。原因がアクチュエーターの場合は当社へ連絡。 |
| 0C4           | 連続押付け可能トルク超過許容時間オーバー | 原因：70%を超える押付け力設定での連続押付け時間がパラメーターNo.89で設定した時間を超過。<br>対策：シーケンス再確認し、設定時間内の押付け時間に調整。                                                                                 |

</contents>
