ファイル名: SCON2(MJ0458-1E)_page464

<overview>
このページは「接続可能なアクチュエーターの仕様一覧」を示しており、主に表形式で構成されています。テキスト部分はタイトルとシリーズ名の説明があり、表部分がメインで、アクチュエーターシリーズごとのタイプ、モーター出力、エンコーダーパルス数、リード長さ、取付け方向、最高速度、最大加減速度、押付け力、定格押付け速度などの仕様が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.3 接続可能なアクチュエーターの仕様一覧
【RCS4シリーズ】

### 表
#### RCS4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ           | モーター出力 (W) | エンコーダーパルス数 | リード (mm) | 取付け方向     | 最高速度 (mm/s)                                                                                   | 最大加減速度 (G) | 最小押付け力 (N) | 最大押付け力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|------------------|------------------|----------------------|-------------|----------------|-------------------------------------------------------------------------------------------------|------------------|------------------|------------------|------------------------|
|                          | WSA10C           | 60               | 16384                | 16          | 水平           | 960(at 50～350st)<br>930(at 400st)<br>775(at 450st)<br>660(at 500st)                            | 1.2              | -                | -                | -                      |
|                          |                  |                  |                      | 10          |                | 600(at 50～350st)<br>590(at 400st)<br>490(at 450st)<br>415(at 500st)                            | 1.2              | -                | -                | -                      |
|                          |                  |                  |                      | 5           | 水平/垂直     | 300(at 50～350st)<br>290(at 400st)<br>245(at 450st)<br>205(at 500st)                            | 1                | -                | -                | -                      |
|                          |                  |                  |                      | 2.5         |                | 150(at 50～350st)<br>145(at 400st)<br>120(at 450st)<br>100(at 500st)                            | 0.7              | -                | -                | -                      |
| RCS4 (ワイドスライダータイプ) | WSA12C           | 100              | 16384                | 20          | 水平/垂直     | 1200(at 50～450st)<br>1130(at 500st)<br>970(at 550st)<br>840(at 600st)<br>740(at 650st)<br>650(at 700st)<br>580(at 750st)<br>520(at 800st) | 1.2              | -                | -                | -                      |
|                          |                  |                  |                      | 12          |                | 720(at 50～450st)<br>610(at 500st)<br>535(at 550st)<br>465(at 600st)<br>405(at 650st)<br>355(at 700st)<br>315(at 750st)<br>285(at 800st) | 1.2              | -                | -                | -                      |
|                          |                  |                  |                      | 6           |                | 360(at 50～450st)<br>310(at 500st)<br>265(at 550st)<br>230(at 600st)<br>200(at 650st)<br>175(at 700st)<br>155(at 750st)<br>140(at 800st) | 1                | -                | -                | -                      |
|                          |                  |                  |                      | 3           |                | 180(at 50～450st)<br>150(at 500st)<br>130(at 550st)<br>115(at 600st)<br>100(at 650st)<br>85(at 700st)<br>75(at 750st)<br>70(at 800st)     | 0.7              | -                | -                | -                      |

</contents>
